"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Below poverty level!!Estimate","Georgia!!Below poverty level!!Margin of Error","Georgia!!Percent below poverty level!!Estimate","Georgia!!Percent below poverty level!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Below poverty level!!Estimate","Barrow County, Georgia!!Below poverty level!!Margin of Error","Barrow County, Georgia!!Percent below poverty level!!Estimate","Barrow County, Georgia!!Percent below poverty level!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!Below poverty level!!Estimate","Bartow County, Georgia!!Below poverty level!!Margin of Error","Bartow County, Georgia!!Percent below poverty level!!Estimate","Bartow County, Georgia!!Percent below poverty level!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!Below poverty level!!Estimate","Bibb County, Georgia!!Below poverty level!!Margin of Error","Bibb County, Georgia!!Percent below poverty level!!Estimate","Bibb County, Georgia!!Percent below poverty level!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!Below poverty level!!Estimate","Bulloch County, Georgia!!Below poverty level!!Margin of Error","Bulloch County, Georgia!!Percent below poverty level!!Estimate","Bulloch County, Georgia!!Percent below poverty level!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!Below poverty level!!Estimate","Carroll County, Georgia!!Below poverty level!!Margin of Error","Carroll County, Georgia!!Percent below poverty level!!Estimate","Carroll County, Georgia!!Percent below poverty level!!Margin of Error","Catoosa County, Georgia!!Total!!Estimate","Catoosa County, Georgia!!Total!!Margin of Error","Catoosa County, Georgia!!Below poverty level!!Estimate","Catoosa County, Georgia!!Below poverty level!!Margin of Error","Catoosa County, Georgia!!Percent below poverty level!!Estimate","Catoosa County, Georgia!!Percent below poverty level!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!Below poverty level!!Estimate","Chatham County, Georgia!!Below poverty level!!Margin of Error","Chatham County, Georgia!!Percent below poverty level!!Estimate","Chatham County, Georgia!!Percent below poverty level!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!Below poverty level!!Estimate","Cherokee County, Georgia!!Below poverty level!!Margin of Error","Cherokee County, Georgia!!Percent below poverty level!!Estimate","Cherokee County, Georgia!!Percent below poverty level!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Below poverty level!!Estimate","Clarke County, Georgia!!Below poverty level!!Margin of Error","Clarke County, Georgia!!Percent below poverty level!!Estimate","Clarke County, Georgia!!Percent below poverty level!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!Below poverty level!!Estimate","Clayton County, Georgia!!Below poverty level!!Margin of Error","Clayton County, Georgia!!Percent below poverty level!!Estimate","Clayton County, Georgia!!Percent below poverty level!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!Below poverty level!!Estimate","Cobb County, Georgia!!Below poverty level!!Margin of Error","Cobb County, Georgia!!Percent below poverty level!!Estimate","Cobb County, Georgia!!Percent below poverty level!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!Below poverty level!!Estimate","Columbia County, Georgia!!Below poverty level!!Margin of Error","Columbia County, Georgia!!Percent below poverty level!!Estimate","Columbia County, Georgia!!Percent below poverty level!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!Below poverty level!!Estimate","Coweta County, Georgia!!Below poverty level!!Margin of Error","Coweta County, Georgia!!Percent below poverty level!!Estimate","Coweta County, Georgia!!Percent below poverty level!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!Below poverty level!!Estimate","DeKalb County, Georgia!!Below poverty level!!Margin of Error","DeKalb County, Georgia!!Percent below poverty level!!Estimate","DeKalb County, Georgia!!Percent below poverty level!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!Below poverty level!!Estimate","Dougherty County, Georgia!!Below poverty level!!Margin of Error","Dougherty County, Georgia!!Percent below poverty level!!Estimate","Dougherty County, Georgia!!Percent below poverty level!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!Below poverty level!!Estimate","Douglas County, Georgia!!Below poverty level!!Margin of Error","Douglas County, Georgia!!Percent below poverty level!!Estimate","Douglas County, Georgia!!Percent below poverty level!!Margin of Error","Effingham County, Georgia!!Total!!Estimate","Effingham County, Georgia!!Total!!Margin of Error","Effingham County, Georgia!!Below poverty level!!Estimate","Effingham County, Georgia!!Below poverty level!!Margin of Error","Effingham County, Georgia!!Percent below poverty level!!Estimate","Effingham County, Georgia!!Percent below poverty level!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!Below poverty level!!Estimate","Fayette County, Georgia!!Below poverty level!!Margin of Error","Fayette County, Georgia!!Percent below poverty level!!Estimate","Fayette County, Georgia!!Percent below poverty level!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!Below poverty level!!Estimate","Floyd County, Georgia!!Below poverty level!!Margin of Error","Floyd County, Georgia!!Percent below poverty level!!Estimate","Floyd County, Georgia!!Percent below poverty level!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!Below poverty level!!Estimate","Forsyth County, Georgia!!Below poverty level!!Margin of Error","Forsyth County, Georgia!!Percent below poverty level!!Estimate","Forsyth County, Georgia!!Percent below poverty level!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!Below poverty level!!Estimate","Fulton County, Georgia!!Below poverty level!!Margin of Error","Fulton County, Georgia!!Percent below poverty level!!Estimate","Fulton County, Georgia!!Percent below poverty level!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!Below poverty level!!Estimate","Glynn County, Georgia!!Below poverty level!!Margin of Error","Glynn County, Georgia!!Percent below poverty level!!Estimate","Glynn County, Georgia!!Percent below poverty level!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!Below poverty level!!Estimate","Gwinnett County, Georgia!!Below poverty level!!Margin of Error","Gwinnett County, Georgia!!Percent below poverty level!!Estimate","Gwinnett County, Georgia!!Percent below poverty level!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!Below poverty level!!Estimate","Hall County, Georgia!!Below poverty level!!Margin of Error","Hall County, Georgia!!Percent below poverty level!!Estimate","Hall County, Georgia!!Percent below poverty level!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!Below poverty level!!Estimate","Henry County, Georgia!!Below poverty level!!Margin of Error","Henry County, Georgia!!Percent below poverty level!!Estimate","Henry County, Georgia!!Percent below poverty level!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!Below poverty level!!Estimate","Houston County, Georgia!!Below poverty level!!Margin of Error","Houston County, Georgia!!Percent below poverty level!!Estimate","Houston County, Georgia!!Percent below poverty level!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Below poverty level!!Estimate","Jackson County, Georgia!!Below poverty level!!Margin of Error","Jackson County, Georgia!!Percent below poverty level!!Estimate","Jackson County, Georgia!!Percent below poverty level!!Margin of Error","Liberty County, Georgia!!Total!!Estimate","Liberty County, Georgia!!Total!!Margin of Error","Liberty County, Georgia!!Below poverty level!!Estimate","Liberty County, Georgia!!Below poverty level!!Margin of Error","Liberty County, Georgia!!Percent below poverty level!!Estimate","Liberty County, Georgia!!Percent below poverty level!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!Below poverty level!!Estimate","Lowndes County, Georgia!!Below poverty level!!Margin of Error","Lowndes County, Georgia!!Percent below poverty level!!Estimate","Lowndes County, Georgia!!Percent below poverty level!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!Below poverty level!!Estimate","Muscogee County, Georgia!!Below poverty level!!Margin of Error","Muscogee County, Georgia!!Percent below poverty level!!Estimate","Muscogee County, Georgia!!Percent below poverty level!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!Below poverty level!!Estimate","Newton County, Georgia!!Below poverty level!!Margin of Error","Newton County, Georgia!!Percent below poverty level!!Estimate","Newton County, Georgia!!Percent below poverty level!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!Below poverty level!!Estimate","Paulding County, Georgia!!Below poverty level!!Margin of Error","Paulding County, Georgia!!Percent below poverty level!!Estimate","Paulding County, Georgia!!Percent below poverty level!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!Below poverty level!!Estimate","Richmond County, Georgia!!Below poverty level!!Margin of Error","Richmond County, Georgia!!Percent below poverty level!!Estimate","Richmond County, Georgia!!Percent below poverty level!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!Below poverty level!!Estimate","Rockdale County, Georgia!!Below poverty level!!Margin of Error","Rockdale County, Georgia!!Percent below poverty level!!Estimate","Rockdale County, Georgia!!Percent below poverty level!!Margin of Error","Spalding County, Georgia!!Total!!Estimate","Spalding County, Georgia!!Total!!Margin of Error","Spalding County, Georgia!!Below poverty level!!Estimate","Spalding County, Georgia!!Below poverty level!!Margin of Error","Spalding County, Georgia!!Percent below poverty level!!Estimate","Spalding County, Georgia!!Percent below poverty level!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!Below poverty level!!Estimate","Troup County, Georgia!!Below poverty level!!Margin of Error","Troup County, Georgia!!Percent below poverty level!!Estimate","Troup County, Georgia!!Percent below poverty level!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!Below poverty level!!Estimate","Walker County, Georgia!!Below poverty level!!Margin of Error","Walker County, Georgia!!Percent below poverty level!!Estimate","Walker County, Georgia!!Percent below poverty level!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!Below poverty level!!Estimate","Walton County, Georgia!!Below poverty level!!Margin of Error","Walton County, Georgia!!Percent below poverty level!!Estimate","Walton County, Georgia!!Percent below poverty level!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!Below poverty level!!Estimate","Whitfield County, Georgia!!Below poverty level!!Margin of Error","Whitfield County, Georgia!!Percent below poverty level!!Estimate","Whitfield County, Georgia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","325,521,470","±24,959","40,951,625","±260,310","12.6%","±0.1","10,655,140","±4,007","1,348,344","±37,893","12.7%","±0.4","88,486","±474","8,445","±2,712","9.5%","±3.1","111,857","±159","10,777","±2,994","9.6%","±2.7","149,835","±618","35,258","±6,057","23.5%","±4.0","76,975","±569","20,859","±4,004","27.1%","±5.2","121,128","±465","15,216","±3,855","12.6%","±3.2","68,278","±107","7,447","±2,334","10.9%","±3.4","286,700","±1,369","47,169","±6,662","16.5%","±2.3","279,449","±201","13,940","±3,429","5.0%","±1.2","120,046","±316","35,526","±5,716","29.6%","±4.8","293,667","±810","40,253","±7,175","13.7%","±2.4","762,637","±705","59,396","±7,966","7.8%","±1.0","161,237","±319","12,473","±3,306","7.7%","±2.1","151,435","±464","9,866","±2,750","6.5%","±1.8","751,794","±1,158","100,579","±13,429","13.4%","±1.8","79,563","±278","23,582","±4,379","29.6%","±5.5","146,034","±430","12,725","±3,817","8.7%","±2.6","68,653","±116","5,602","±1,860","8.2%","±2.7","121,303","±62","7,614","±2,531","6.3%","±2.1","95,627","±248","13,871","±3,078","14.5%","±3.2","265,881","±249","8,248","±2,672","3.1%","±1.0","1,046,996","±1,551","133,247","±11,845","12.7%","±1.1","84,028","±167","10,360","±2,765","12.3%","±3.3","967,772","±769","87,407","±9,521","9.0%","±1.0","209,776","±486","25,813","±4,307","12.3%","±2.1","247,118","±669","19,043","±4,364","7.7%","±1.8","167,841","±359","16,326","±4,851","9.7%","±2.9","83,376","±137","3,584","±1,310","4.3%","±1.6","64,812","±647","8,110","±2,344","12.5%","±3.6","115,100","±239","16,093","±3,396","14.0%","±3.0","196,703","±562","35,003","±7,224","17.8%","±3.7","116,111","±148","14,307","±4,513","12.3%","±3.9","177,659","±59","15,100","±4,287","8.5%","±2.4","196,450","±941","33,448","±5,751","17.0%","±2.9","94,281","±218","6,519","±2,858","6.9%","±3.0","67,916","±518","14,584","±3,684","21.5%","±5.4","68,383","±476","13,844","±4,147","20.2%","±6.1","67,121","±502","10,244","±2,707","15.3%","±4.0","100,959","±1,110","12,944","±3,496","12.8%","±3.5","101,965","±329","13,195","±4,255","12.9%","±4.2"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","71,241,523","±39,113","11,582,950","±133,069","16.3%","±0.2","2,474,049","±4,805","411,089","±18,458","16.6%","±0.7","21,802","±520","2,309","±1,443","10.6%","±6.6","25,682","±323","2,873","±1,236","11.2%","±4.8","36,966","±904","12,372","±3,597","33.5%","±9.7","15,939","±416","4,419","±1,774","27.7%","±11.1","28,883","±484","4,942","±1,680","17.1%","±5.8","15,024","±101","1,984","±1,127","13.2%","±7.5","59,204","±1,361","13,055","±3,139","22.1%","±5.3","63,026","±133","1,879","±1,296","3.0%","±2.1","20,536","±326","6,381","±2,647","31.1%","±13.0","78,259","±795","12,767","±4,055","16.3%","±5.2","169,699","±623","15,291","±3,982","9.0%","±2.3","40,152","±419","4,138","±1,986","10.3%","±5.0","34,245","±446","1,878","±1,225","5.5%","±3.6","167,830","±1,179","32,429","±8,011","19.3%","±4.8","19,712","±282","9,450","±2,483","47.9%","±12.4","36,500","±439","4,154","±1,810","11.4%","±5.0","17,989","±219","1,375","±714","7.6%","±4.0","27,247","±126","2,656","±1,280","9.7%","±4.7","22,059","±300","2,739","±1,147","12.4%","±5.2","67,556","±251","1,892","±1,019","2.8%","±1.5","219,408","±1,072","39,184","±6,876","17.9%","±3.1","16,916","±238","3,081","±1,385","18.2%","±8.2","249,654","±747","27,571","±5,398","11.0%","±2.2","49,570","±606","10,427","±2,702","21.0%","±5.4","60,916","±670","6,736","±3,038","11.1%","±5.0","42,506","±357","6,348","±2,604","14.9%","±6.1","20,715","±136","689","±693","3.3%","±3.4","17,451","±666","2,711","±1,339","15.5%","±7.5","28,897","±201","3,747","±1,624","13.0%","±5.6","49,322","±531","13,659","±4,068","27.7%","±8.2","29,189","±325","5,323","±2,637","18.2%","±9.0","44,896","±110","3,796","±1,839","8.5%","±4.1","45,192","±954","10,675","±3,438","23.6%","±7.7","22,254","±1,085","2,354","±1,680","10.6%","±7.5","15,561","±520","6,083","±1,867","39.1%","±12.0","16,183","±648","5,685","±2,197","35.1%","±13.5","14,449","±164","3,225","±1,349","22.3%","±9.3","22,785","±1,112","3,993","±1,599","17.5%","±6.9","25,306","±326","5,118","±2,434","20.2%","±9.6"
"            Under 5 years","18,053,650","±22,114","3,141,107","±47,520","17.4%","±0.3","613,218","±4,914","110,286","±7,992","18.0%","±1.3","5,825","±378","273","±302","4.7%","±5.4","6,605","±892","794","±664","12.0%","±10.2","9,429","±573","3,468","±1,421","36.8%","±15.1","5,396","±940","2,043","±1,338","37.9%","±23.5","7,091","±718","1,277","±655","18.0%","±9.2","3,065","±123","378","±420","12.3%","±13.6","16,721","±1,065","4,867","±1,478","29.1%","±9.1","14,831","±99","882","±849","5.9%","±5.7","5,848","±384","1,786","±1,121","30.5%","±18.7","20,650","±963","3,463","±1,752","16.8%","±8.3","42,304","±423","3,508","±1,453","8.3%","±3.4","9,666","±367","1,042","±629","10.8%","±6.5","7,335","±703","840","±599","11.5%","±8.3","48,313","±651","10,239","±2,907","21.2%","±6.0","5,095","±484","2,824","±828","55.4%","±14.8","8,007","±851","1,048","±671","13.1%","±8.6","4,481","±463","662","±412","14.8%","±9.0","4,477","±847","477","±387","10.7%","±8.8","5,792","±220","671","±380","11.6%","±6.7","14,068","±455","450","±468","3.2%","±3.3","56,960","±318","10,417","±3,318","18.3%","±5.8","4,301","±609","1,377","±830","32.0%","±17.2","57,954","±355","8,510","±2,297","14.7%","±4.0","12,450","±714","2,850","±1,235","22.9%","±9.9","13,484","±179","1,538","±1,357","11.4%","±10.0","9,802","±644","1,276","±1,132","13.0%","±11.3","5,340","±643","78","±152","1.5%","±2.9","5,129","±766","1,041","±736","20.3%","±13.8","7,712","±372","593","±479","7.7%","±6.1","13,153","±268","3,123","±1,969","23.7%","±15.0","7,265","±1,156","1,340","±1,223","18.4%","±14.5","8,765","±955","975","±849","11.1%","±9.1","12,708","±743","3,204","±1,634","25.2%","±13.2","4,412","±634","372","±425","8.4%","±9.8","4,246","±427","1,831","±792","43.1%","±17.3","3,731","±844","1,338","±901","35.9%","±21.8","4,622","±469","1,306","±767","28.3%","±16.8","5,422","±321","1,288","±724","23.8%","±13.3","6,367","±518","1,348","±794","21.2%","±12.3"
"            5 to 17 years","53,187,873","±34,782","8,441,843","±100,073","15.9%","±0.2","1,860,831","±6,127","300,803","±15,028","16.2%","±0.8","15,977","±630","2,036","±1,399","12.7%","±8.7","19,077","±870","2,079","±935","10.9%","±4.9","27,537","±711","8,904","±2,849","32.3%","±10.4","10,543","±1,035","2,376","±1,082","22.5%","±10.4","21,792","±997","3,665","±1,258","16.8%","±5.8","11,959","±169","1,606","±896","13.4%","±7.5","42,483","±1,285","8,188","±2,338","19.3%","±5.5","48,195","±86","997","±707","2.1%","±1.5","14,688","±497","4,595","±1,984","31.3%","±13.9","57,609","±931","9,304","±3,275","16.2%","±5.7","127,395","±447","11,783","±3,273","9.2%","±2.6","30,486","±467","3,096","±1,617","10.2%","±5.3","26,910","±510","1,038","±866","3.9%","±3.2","119,517","±926","22,190","±5,877","18.6%","±4.9","14,617","±474","6,626","±2,063","45.3%","±13.9","28,493","±742","3,106","±1,573","10.9%","±5.5","13,508","±549","713","±507","5.3%","±3.8","22,770","±860","2,179","±1,088","9.6%","±4.8","16,267","±263","2,068","±959","12.7%","±5.9","53,488","±453","1,442","±897","2.7%","±1.7","162,448","±1,059","28,767","±4,945","17.7%","±3.1","12,615","±606","1,704","±948","13.5%","±7.5","191,700","±627","19,061","±3,935","9.9%","±2.1","37,120","±910","7,577","±2,166","20.4%","±5.6","47,432","±666","5,198","±2,308","11.0%","±4.9","32,704","±608","5,072","±1,965","15.5%","±6.0","15,375","±640","611","±688","4.0%","±4.5","12,322","±599","1,670","±945","13.6%","±7.6","21,185","±415","3,154","±1,446","14.9%","±6.8","36,169","±493","10,536","±2,904","29.1%","±8.0","21,924","±1,161","3,983","±2,271","18.2%","±10.4","36,131","±966","2,821","±1,401","7.8%","±3.9","32,484","±821","7,471","±2,371","23.0%","±7.2","17,842","±1,155","1,982","±1,541","11.1%","±8.5","11,315","±551","4,252","±1,305","37.6%","±12.3","12,452","±773","4,347","±1,811","34.9%","±14.7","9,827","±467","1,919","±947","19.5%","±9.7","17,363","±1,128","2,705","±1,217","15.6%","±6.9","18,939","±609","3,770","±1,988","19.9%","±10.5"
"            Related children of householder under 18 years","70,950,290","±42,020","11,317,832","±133,914","16.0%","±0.2","2,464,664","±5,557","402,676","±18,515","16.3%","±0.7","21,802","±520","2,309","±1,443","10.6%","±6.6","25,682","±323","2,873","±1,236","11.2%","±4.8","36,669","±1,135","12,075","±3,600","32.9%","±9.8","15,939","±416","4,419","±1,774","27.7%","±11.1","28,510","±822","4,746","±1,705","16.6%","±6.0","15,024","±101","1,984","±1,127","13.2%","±7.5","58,971","±1,516","12,822","±3,173","21.7%","±5.3","63,026","±133","1,879","±1,296","3.0%","±2.1","20,536","±326","6,381","±2,647","31.1%","±13.0","78,021","±944","12,529","±4,090","16.1%","±5.2","169,500","±661","15,092","±4,033","8.9%","±2.4","40,152","±419","4,138","±1,986","10.3%","±5.0","34,245","±446","1,878","±1,225","5.5%","±3.6","167,392","±1,373","31,991","±7,989","19.1%","±4.8","19,712","±282","9,450","±2,483","47.9%","±12.4","36,460","±439","4,114","±1,820","11.3%","±5.0","17,989","±219","1,375","±714","7.6%","±4.0","27,247","±126","2,656","±1,280","9.7%","±4.7","22,059","±300","2,739","±1,147","12.4%","±5.2","67,476","±284","1,812","±1,005","2.7%","±1.5","218,583","±1,319","38,359","±6,914","17.5%","±3.2","16,523","±664","3,081","±1,385","18.6%","±8.4","248,216","±1,132","26,415","±5,356","10.6%","±2.2","49,443","±658","10,300","±2,688","20.8%","±5.4","60,916","±670","6,736","±3,038","11.1%","±5.0","42,506","±357","6,348","±2,604","14.9%","±6.1","20,554","±204","610","±682","3.0%","±3.3","17,376","±701","2,636","±1,340","15.2%","±7.5","28,813","±328","3,663","±1,610","12.7%","±5.6","49,143","±572","13,480","±4,047","27.4%","±8.2","29,189","±325","5,323","±2,637","18.2%","±9.0","44,723","±239","3,623","±1,848","8.1%","±4.1","44,851","±1,096","10,334","±3,481","23.0%","±7.8","22,254","±1,085","2,354","±1,680","10.6%","±7.5","15,561","±520","6,083","±1,867","39.1%","±12.0","16,079","±672","5,581","±2,188","34.7%","±13.5","14,449","±164","3,225","±1,349","22.3%","±9.3","22,720","±1,138","3,928","±1,597","17.3%","±6.9","25,306","±326","5,118","±2,434","20.2%","±9.6"
"        18 to 64 years","197,858,864","±27,005","23,192,117","±136,862","11.7%","±0.1","6,574,066","±5,441","759,649","±22,096","11.6%","±0.3","55,061","±647","5,305","±1,677","9.6%","±3.0","70,463","±532","5,854","±1,669","8.3%","±2.4","87,128","±1,006","19,589","±3,208","22.5%","±3.7","51,119","±516","15,146","±2,711","29.6%","±5.2","74,551","±542","8,938","±2,593","12.0%","±3.5","40,316","±379","3,757","±1,286","9.3%","±3.2","178,202","±825","29,412","±4,768","16.5%","±2.7","170,643","±526","8,545","±2,302","5.0%","±1.4","84,060","±1,137","27,742","±3,642","33.0%","±4.1","183,435","±577","21,755","±3,809","11.9%","±2.1","487,791","±366","36,069","±4,685","7.4%","±1.0","97,005","±623","6,205","±1,855","6.4%","±1.9","94,108","±542","6,384","±1,882","6.8%","±2.0","478,613","±359","58,276","±7,069","12.2%","±1.5","46,040","±268","12,303","±2,295","26.7%","±5.0","91,618","±754","7,354","±2,378","8.0%","±2.6","42,241","±462","3,330","±1,307","7.9%","±3.1","70,116","±521","3,854","±1,587","5.5%","±2.3","56,665","±661","8,846","±2,240","15.6%","±3.9","163,515","±1,725","4,619","±1,651","2.8%","±1.0","693,623","±1,078","75,465","±6,629","10.9%","±1.0","47,404","±774","5,079","±1,422","10.7%","±3.0","607,963","±291","49,904","±5,255","8.2%","±0.9","126,665","±826","13,330","±2,391","10.5%","±1.9","155,455","±519","9,759","±1,959","6.3%","±1.3","101,876","±608","7,781","±2,335","7.6%","±2.3","50,926","±364","2,013","±742","4.0%","±1.5","40,299","±386","4,103","±1,123","10.2%","±2.8","70,713","±306","10,104","±2,061","14.3%","±2.9","118,174","±899","16,610","±3,416","14.1%","±2.9","71,562","±399","7,776","±2,308","10.9%","±3.2","112,260","±454","8,846","±2,819","7.9%","±2.5","120,742","±598","18,914","±3,119","15.7%","±2.6","57,161","±808","3,512","±1,320","6.1%","±2.3","39,589","±238","7,079","±1,683","17.9%","±4.2","41,479","±639","6,510","±2,061","15.7%","±5.0","39,577","±556","5,801","±1,586","14.7%","±4.0","61,500","±604","7,464","±2,401","12.1%","±3.9","61,308","±861","6,642","±2,065","10.8%","±3.4"
