"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Below poverty level!!Estimate","Georgia!!Below poverty level!!Margin of Error","Georgia!!Percent below poverty level!!Estimate","Georgia!!Percent below poverty level!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Below poverty level!!Estimate","Barrow County, Georgia!!Below poverty level!!Margin of Error","Barrow County, Georgia!!Percent below poverty level!!Estimate","Barrow County, Georgia!!Percent below poverty level!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!Below poverty level!!Estimate","Bartow County, Georgia!!Below poverty level!!Margin of Error","Bartow County, Georgia!!Percent below poverty level!!Estimate","Bartow County, Georgia!!Percent below poverty level!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!Below poverty level!!Estimate","Bibb County, Georgia!!Below poverty level!!Margin of Error","Bibb County, Georgia!!Percent below poverty level!!Estimate","Bibb County, Georgia!!Percent below poverty level!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!Below poverty level!!Estimate","Bulloch County, Georgia!!Below poverty level!!Margin of Error","Bulloch County, Georgia!!Percent below poverty level!!Estimate","Bulloch County, Georgia!!Percent below poverty level!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!Below poverty level!!Estimate","Carroll County, Georgia!!Below poverty level!!Margin of Error","Carroll County, Georgia!!Percent below poverty level!!Estimate","Carroll County, Georgia!!Percent below poverty level!!Margin of Error","Catoosa County, Georgia!!Total!!Estimate","Catoosa County, Georgia!!Total!!Margin of Error","Catoosa County, Georgia!!Below poverty level!!Estimate","Catoosa County, Georgia!!Below poverty level!!Margin of Error","Catoosa County, Georgia!!Percent below poverty level!!Estimate","Catoosa County, Georgia!!Percent below poverty level!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!Below poverty level!!Estimate","Chatham County, Georgia!!Below poverty level!!Margin of Error","Chatham County, Georgia!!Percent below poverty level!!Estimate","Chatham County, Georgia!!Percent below poverty level!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!Below poverty level!!Estimate","Cherokee County, Georgia!!Below poverty level!!Margin of Error","Cherokee County, Georgia!!Percent below poverty level!!Estimate","Cherokee County, Georgia!!Percent below poverty level!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Below poverty level!!Estimate","Clarke County, Georgia!!Below poverty level!!Margin of Error","Clarke County, Georgia!!Percent below poverty level!!Estimate","Clarke County, Georgia!!Percent below poverty level!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!Below poverty level!!Estimate","Clayton County, Georgia!!Below poverty level!!Margin of Error","Clayton County, Georgia!!Percent below poverty level!!Estimate","Clayton County, Georgia!!Percent below poverty level!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!Below poverty level!!Estimate","Cobb County, Georgia!!Below poverty level!!Margin of Error","Cobb County, Georgia!!Percent below poverty level!!Estimate","Cobb County, Georgia!!Percent below poverty level!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!Below poverty level!!Estimate","Columbia County, Georgia!!Below poverty level!!Margin of Error","Columbia County, Georgia!!Percent below poverty level!!Estimate","Columbia County, Georgia!!Percent below poverty level!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!Below poverty level!!Estimate","Coweta County, Georgia!!Below poverty level!!Margin of Error","Coweta County, Georgia!!Percent below poverty level!!Estimate","Coweta County, Georgia!!Percent below poverty level!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!Below poverty level!!Estimate","DeKalb County, Georgia!!Below poverty level!!Margin of Error","DeKalb County, Georgia!!Percent below poverty level!!Estimate","DeKalb County, Georgia!!Percent below poverty level!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!Below poverty level!!Estimate","Dougherty County, Georgia!!Below poverty level!!Margin of Error","Dougherty County, Georgia!!Percent below poverty level!!Estimate","Dougherty County, Georgia!!Percent below poverty level!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!Below poverty level!!Estimate","Douglas County, Georgia!!Below poverty level!!Margin of Error","Douglas County, Georgia!!Percent below poverty level!!Estimate","Douglas County, Georgia!!Percent below poverty level!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!Below poverty level!!Estimate","Fayette County, Georgia!!Below poverty level!!Margin of Error","Fayette County, Georgia!!Percent below poverty level!!Estimate","Fayette County, Georgia!!Percent below poverty level!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!Below poverty level!!Estimate","Floyd County, Georgia!!Below poverty level!!Margin of Error","Floyd County, Georgia!!Percent below poverty level!!Estimate","Floyd County, Georgia!!Percent below poverty level!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!Below poverty level!!Estimate","Forsyth County, Georgia!!Below poverty level!!Margin of Error","Forsyth County, Georgia!!Percent below poverty level!!Estimate","Forsyth County, Georgia!!Percent below poverty level!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!Below poverty level!!Estimate","Fulton County, Georgia!!Below poverty level!!Margin of Error","Fulton County, Georgia!!Percent below poverty level!!Estimate","Fulton County, Georgia!!Percent below poverty level!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!Below poverty level!!Estimate","Glynn County, Georgia!!Below poverty level!!Margin of Error","Glynn County, Georgia!!Percent below poverty level!!Estimate","Glynn County, Georgia!!Percent below poverty level!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!Below poverty level!!Estimate","Gwinnett County, Georgia!!Below poverty level!!Margin of Error","Gwinnett County, Georgia!!Percent below poverty level!!Estimate","Gwinnett County, Georgia!!Percent below poverty level!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!Below poverty level!!Estimate","Hall County, Georgia!!Below poverty level!!Margin of Error","Hall County, Georgia!!Percent below poverty level!!Estimate","Hall County, Georgia!!Percent below poverty level!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!Below poverty level!!Estimate","Henry County, Georgia!!Below poverty level!!Margin of Error","Henry County, Georgia!!Percent below poverty level!!Estimate","Henry County, Georgia!!Percent below poverty level!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!Below poverty level!!Estimate","Houston County, Georgia!!Below poverty level!!Margin of Error","Houston County, Georgia!!Percent below poverty level!!Estimate","Houston County, Georgia!!Percent below poverty level!!Margin of Error","Liberty County, Georgia!!Total!!Estimate","Liberty County, Georgia!!Total!!Margin of Error","Liberty County, Georgia!!Below poverty level!!Estimate","Liberty County, Georgia!!Below poverty level!!Margin of Error","Liberty County, Georgia!!Percent below poverty level!!Estimate","Liberty County, Georgia!!Percent below poverty level!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!Below poverty level!!Estimate","Lowndes County, Georgia!!Below poverty level!!Margin of Error","Lowndes County, Georgia!!Percent below poverty level!!Estimate","Lowndes County, Georgia!!Percent below poverty level!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!Below poverty level!!Estimate","Muscogee County, Georgia!!Below poverty level!!Margin of Error","Muscogee County, Georgia!!Percent below poverty level!!Estimate","Muscogee County, Georgia!!Percent below poverty level!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!Below poverty level!!Estimate","Newton County, Georgia!!Below poverty level!!Margin of Error","Newton County, Georgia!!Percent below poverty level!!Estimate","Newton County, Georgia!!Percent below poverty level!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!Below poverty level!!Estimate","Paulding County, Georgia!!Below poverty level!!Margin of Error","Paulding County, Georgia!!Percent below poverty level!!Estimate","Paulding County, Georgia!!Percent below poverty level!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!Below poverty level!!Estimate","Richmond County, Georgia!!Below poverty level!!Margin of Error","Richmond County, Georgia!!Percent below poverty level!!Estimate","Richmond County, Georgia!!Percent below poverty level!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!Below poverty level!!Estimate","Rockdale County, Georgia!!Below poverty level!!Margin of Error","Rockdale County, Georgia!!Percent below poverty level!!Estimate","Rockdale County, Georgia!!Percent below poverty level!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!Below poverty level!!Estimate","Troup County, Georgia!!Below poverty level!!Margin of Error","Troup County, Georgia!!Percent below poverty level!!Estimate","Troup County, Georgia!!Percent below poverty level!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!Below poverty level!!Estimate","Walker County, Georgia!!Below poverty level!!Margin of Error","Walker County, Georgia!!Percent below poverty level!!Estimate","Walker County, Georgia!!Percent below poverty level!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!Below poverty level!!Estimate","Walton County, Georgia!!Below poverty level!!Margin of Error","Walton County, Georgia!!Percent below poverty level!!Estimate","Walton County, Georgia!!Percent below poverty level!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!Below poverty level!!Estimate","Whitfield County, Georgia!!Below poverty level!!Margin of Error","Whitfield County, Georgia!!Percent below poverty level!!Estimate","Whitfield County, Georgia!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","308,196,783","±21,745","48,810,868","±256,176","15.8%","±0.1","9,720,914","±4,997","1,843,768","±35,778","19.0%","±0.4","71,140","±342","10,538","±2,794","14.8%","±3.9","100,250","±563","21,803","±4,692","21.7%","±4.7","148,456","±1,389","43,298","±5,049","29.2%","±3.4","65,448","±2,102","21,227","±3,511","32.4%","±5.1","108,318","±1,292","17,874","±3,551","16.5%","±3.3","64,810","±491","11,173","±3,244","17.2%","±5.0","266,426","±2,213","52,635","±5,407","19.8%","±2.0","222,411","±1,550","28,216","±5,973","12.7%","±2.7","111,690","±1,846","42,151","±4,154","37.7%","±3.6","259,023","±2,257","65,614","±6,989","25.3%","±2.7","707,652","±1,715","95,590","±10,504","13.5%","±1.5","134,374","±890","10,544","±2,804","7.8%","±2.1","132,475","±792","20,384","±4,475","15.4%","±3.4","699,993","±1,894","136,678","±9,895","19.5%","±1.4","88,492","±1,858","26,986","±3,501","30.5%","±3.8","134,943","±816","27,652","±5,567","20.5%","±4.1","107,654","±679","7,242","±2,504","6.7%","±2.3","91,478","±1,165","20,423","±4,011","22.3%","±4.3","194,343","±685","15,730","±3,090","8.1%","±1.6","952,715","±2,323","167,646","±11,842","17.6%","±1.2","80,067","±762","16,068","±3,375","20.1%","±4.2","851,967","±1,517","115,505","±14,076","13.6%","±1.6","185,118","±764","40,630","±5,458","21.9%","±2.9","208,577","±1,414","25,572","±6,896","12.3%","±3.3","145,710","±942","23,588","±5,037","16.2%","±3.5","61,858","±665","12,421","±2,616","20.1%","±4.2","108,456","±1,027","28,412","±3,747","26.2%","±3.4","192,352","±2,149","44,389","±4,687","23.1%","±2.4","100,452","±1,096","13,035","±2,953","13.0%","±2.9","145,911","±708","19,005","±4,546","13.0%","±3.1","193,861","±1,390","51,992","±6,044","26.8%","±3.1","86,003","±761","14,216","±2,926","16.5%","±3.4","67,362","±1,052","17,726","±3,759","26.3%","±5.5","66,684","±757","9,566","±2,341","14.3%","±3.5","84,305","±825","11,216","±2,493","13.3%","±3.0","101,603","±961","21,579","±4,168","21.2%","±4.1"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","72,382,173","±37,943","16,086,960","±138,116","22.2%","±0.2","2,456,254","±5,501","650,910","±19,942","26.5%","±0.8","19,405","±167","3,952","±1,614","20.4%","±8.3","24,450","±1,480","7,322","±2,491","29.9%","±9.4","38,751","±427","18,264","±2,932","47.1%","±7.5","14,421","±305","3,211","±1,513","22.3%","±10.5","27,456","±247","5,612","±1,917","20.4%","±7.0","15,843","±252","4,146","±1,554","26.2%","±9.7","61,489","±570","18,524","±3,077","30.1%","±5.0","58,749","±1,376","9,694","±2,804","16.5%","±4.7","20,905","±219","8,789","±1,654","42.0%","±7.9","73,497","±898","27,346","±3,699","37.2%","±5.0","176,855","±888","31,915","±4,698","18.0%","±2.6","35,106","±809","2,712","±1,160","7.7%","±3.3","34,658","±269","7,969","±2,299","23.0%","±6.6","167,000","±1,253","50,066","±4,959","30.0%","±3.0","23,058","±551","9,880","±1,794","42.8%","±7.8","36,299","±558","11,501","±3,029","31.7%","±8.4","26,257","±111","1,878","±1,037","7.2%","±3.9","21,956","±574","6,417","±1,979","29.2%","±8.9","56,857","±593","5,352","±1,611","9.4%","±2.8","229,065","±1,064","57,152","±6,191","25.0%","±2.7","18,933","±658","5,259","±1,614","27.8%","±8.3","238,835","±1,461","49,001","±7,283","20.5%","±3.0","50,205","±587","17,085","±2,930","34.0%","±5.8","56,682","±1,047","9,376","±3,310","16.5%","±5.8","37,794","±471","8,365","±2,539","22.1%","±6.7","18,509","±567","4,605","±1,350","24.9%","±7.0","27,480","±520","7,427","±1,979","27.0%","±7.2","49,288","±612","17,007","±2,469","34.5%","±5.0","27,270","±989","5,644","±1,712","20.7%","±6.1","41,193","±422","6,639","±2,133","16.1%","±5.2","47,859","±441","21,479","±3,037","44.9%","±6.4","22,062","±478","4,407","±1,387","20.0%","±6.3","17,846","±845","7,034","±2,043","39.4%","±11.6","15,280","±372","2,196","±1,109","14.4%","±7.3","21,510","±717","3,590","±1,290","16.7%","±5.9","27,158","±584","8,668","±2,380","31.9%","±8.8"
"        Related children under 18 years","72,044,862","±40,904","15,769,921","±136,540","21.9%","±0.2","2,447,221","±6,013","642,195","±20,081","26.2%","±0.8","19,214","±279","3,810","±1,618","19.8%","±8.4","24,450","±1,480","7,322","±2,491","29.9%","±9.4","38,737","±429","18,250","±2,932","47.1%","±7.5","14,133","±508","2,923","±1,384","20.7%","±9.9","27,060","±533","5,216","±1,864","19.3%","±6.9","15,743","±279","4,046","±1,543","25.7%","±9.7","61,084","±716","18,160","±3,122","29.7%","±5.1","58,671","±1,350","9,616","±2,753","16.4%","±4.6","20,905","±219","8,789","±1,654","42.0%","±7.9","73,283","±951","27,132","±3,682","37.0%","±5.0","176,392","±908","31,452","±4,743","17.8%","±2.7","35,008","±846","2,614","±1,144","7.5%","±3.3","34,582","±359","7,893","±2,286","22.8%","±6.6","166,659","±1,303","49,725","±4,977","29.8%","±3.0","22,726","±863","9,676","±1,823","42.6%","±7.8","36,266","±565","11,468","±3,036","31.6%","±8.4","26,257","±111","1,878","±1,037","7.2%","±3.9","21,687","±689","6,148","±1,999","28.3%","±9.0","56,662","±614","5,157","±1,602","9.1%","±2.8","228,623","±1,100","56,710","±6,200","24.8%","±2.7","18,933","±658","5,259","±1,614","27.8%","±8.3","238,153","±1,584","48,319","±7,237","20.3%","±3.0","49,955","±642","16,870","±2,947","33.8%","±5.8","56,498","±1,194","9,192","±3,329","16.3%","±5.8","37,794","±471","8,365","±2,539","22.1%","±6.7","18,509","±567","4,605","±1,350","24.9%","±7.0","27,413","±552","7,360","±2,006","26.8%","±7.3","48,991","±862","16,710","±2,488","34.1%","±5.0","26,696","±1,207","5,070","±1,672","19.0%","±6.0","41,193","±422","6,639","±2,133","16.1%","±5.2","47,751","±472","21,371","±3,019","44.8%","±6.4","21,898","±585","4,243","±1,355","19.4%","±6.2","17,846","±845","7,034","±2,043","39.4%","±11.6","15,209","±388","2,125","±1,122","14.0%","±7.4","21,390","±718","3,470","±1,271","16.2%","±5.8","27,158","±584","8,668","±2,380","31.9%","±8.8"
"    18 to 64 years","192,461,043","±25,395","28,578,191","±130,093","14.8%","±0.1","6,102,742","±5,079","1,068,041","±20,169","17.5%","±0.3","44,113","±572","6,022","±1,651","13.7%","±3.7","62,757","±1,605","12,254","±2,719","19.5%","±4.3","89,450","±1,298","22,776","±2,942","25.5%","±3.3","43,708","±2,080","17,068","±2,673","39.1%","±5.8","67,664","±1,305","11,004","±2,242","16.3%","±3.3","39,199","±639","6,154","±1,944","15.7%","±5.0","168,781","±2,025","30,575","±3,255","18.1%","±1.9","137,456","±1,551","17,056","±3,488","12.4%","±2.5","80,259","±1,810","32,198","±3,362","40.1%","±3.9","165,692","±2,040","36,464","±3,985","22.0%","±2.4","459,518","±1,458","57,812","±6,221","12.6%","±1.4","84,923","±865","7,019","±1,907","8.3%","±2.3","81,799","±751","11,327","±2,789","13.8%","±3.4","464,095","±1,450","78,779","±6,219","17.0%","±1.3","53,971","±1,710","15,239","±2,232","28.2%","±4.0","85,245","±984","14,955","±3,289","17.5%","±3.9","64,876","±722","4,883","±1,590","7.5%","±2.4","56,029","±1,095","12,066","±2,366","21.5%","±4.2","116,508","±645","9,158","±1,897","7.9%","±1.6","626,182","±2,344","99,025","±6,915","15.8%","±1.1","47,683","±807","9,430","±2,327","19.8%","±4.8","543,292","±952","60,867","±7,578","11.2%","±1.4","111,017","±871","20,690","±3,292","18.6%","±3.0","131,723","±1,058","14,449","±3,711","11.0%","±2.8","91,432","±862","13,807","±3,251","15.1%","±3.6","39,202","±708","7,143","±1,480","18.2%","±3.7","69,660","±928","19,501","±2,492","28.0%","±3.6","120,087","±1,974","24,383","±2,830","20.3%","±2.3","61,818","±1,047","6,397","±1,475","10.3%","±2.4","92,215","±697","11,366","±3,030","12.3%","±3.3","122,642","±1,282","28,421","±3,774","23.2%","±3.0","53,613","±709","8,806","±1,914","16.4%","±3.5","40,852","±1,399","9,124","±1,920","22.3%","±4.5","40,330","±722","6,915","±1,785","17.1%","±4.4","51,348","±1,094","7,028","±1,615","13.7%","±3.2","61,824","±911","11,608","±2,414","18.8%","±3.9"
"    65 years and over","43,353,567","±19,682","4,145,717","±35,613","9.6%","±0.1","1,161,918","±4,109","124,817","±6,194","10.7%","±0.5","7,622","±551","564","±319","7.4%","±4.2","13,043","±478","2,227","±943","17.1%","±7.1","20,255","±466","2,258","±630","11.1%","±3.1","7,319","±519","948","±403","13.0%","±5.3","13,198","±562","1,258","±659","9.5%","±4.8","9,768","±441","873","±451","8.9%","±4.5","36,156","±623","3,536","±965","9.8%","±2.7","26,206","±1,336","1,466","±703","5.6%","±2.7","10,526","±256","1,164","±523","11.1%","±5.0","19,834","±800","1,804","±680","9.1%","±3.4","71,279","±618","5,863","±1,501","8.2%","±2.1","14,345","±885","813","±591","5.7%","±4.0","16,018","±492","1,088","±600","6.8%","±3.7","68,898","±659","7,833","±1,522","11.4%","±2.2","11,463","±372","1,867","±513","16.3%","±4.4","13,399","±779","1,196","±742","8.9%","±5.3","16,521","±402","481","±377","2.9%","±2.3","13,493","±324","1,940","±927","14.4%","±6.9","20,978","±547","1,220","±523","5.8%","±2.5","97,468","±647","11,469","±2,069","11.8%","±2.1","13,451","±605","1,379","±457","10.3%","±3.4","69,840","±615","5,637","±1,431","8.1%","±2.0","23,896","±781","2,855","±824","11.9%","±3.4","20,172","±516","1,747","±775","8.7%","±3.8","16,484","±403","1,416","±694","8.6%","±4.2","4,147","±325","673","±370","16.2%","±9.2","11,316","±274","1,484","±590","13.1%","±5.2","22,977","±684","2,999","±727","13.1%","±3.0","11,364","±320","994","±567","8.7%","±5.1","12,503","±649","1,000","±587","8.0%","±4.7","23,360","±582","2,092","±563","9.0%","±2.3","10,328","±357","1,003","±392","9.7%","±3.8","8,664","±474","1,568","±608","18.1%","±6.7","11,074","±322","455","±249","4.1%","±2.2","11,447","±872","598","±432","5.2%","±3.7","12,621","±613","1,303","±583","10.3%","±4.5"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","150,918,837","±35,124","21,938,525","±128,136","14.5%","±0.1","4,707,688","±8,790","815,981","±18,746","17.3%","±0.4","35,594","±578","5,056","±1,405","14.2%","±4.0","50,546","±1,790","9,706","±2,710","19.2%","±5.4","70,247","±1,379","20,113","±2,667","28.6%","±3.7","31,897","±1,594","10,091","±1,936","31.6%","±5.8","51,942","±1,372","6,343","±1,657","12.2%","±3.2","31,335","±639","5,114","±1,775","16.3%","±5.7","127,845","±1,579","22,361","±2,936","17.5%","±2.3","109,384","±1,382","12,975","±3,328","11.9%","±3.0","54,214","±1,453","20,131","±2,654","37.1%","±4.6","122,050","±1,860","29,193","±3,275","23.9%","±2.6","342,501","±992","44,528","±5,506","13.0%","±1.6","65,364","±1,282","4,746","±1,499","7.3%","±2.3","64,485","±970","7,899","±2,272","12.2%","±3.5","334,038","±1,076","60,543","±5,825","18.1%","±1.7","40,877","±1,713","11,301","±1,969","27.6%","±4.5","63,993","±1,513","11,772","±2,704","18.4%","±4.2","51,989","±946","2,734","±1,199","5.3%","±2.3","44,731","±1,464","9,382","±2,164","21.0%","±4.8","96,700","±672","6,901","±1,666","7.1%","±1.7","459,463","±2,301","70,617","±6,150","15.4%","±1.3","36,250","±1,438","5,313","±1,536","14.7%","±4.2","417,185","±1,040","54,614","±7,160","13.1%","±1.7","94,673","±1,280","20,020","±3,254","21.1%","±3.4","99,729","±1,378","11,432","±3,518","11.5%","±3.5","71,562","±1,024","9,756","±2,480","13.6%","±3.5","30,344","±681","5,182","±1,481","17.1%","±4.8","52,782","±957","13,285","±2,191","25.2%","±4.1","91,198","±1,876","20,489","±2,632","22.5%","±2.9","47,120","±1,190","4,464","±1,302","9.5%","±2.8","70,949","±1,082","7,169","±1,853","10.1%","±2.6","91,882","±1,265","23,491","±3,166","25.6%","±3.3","41,005","±1,091","6,258","±1,560","15.3%","±3.8","31,805","±1,170","6,209","±1,955","19.5%","±6.0","32,432","±778","4,096","±1,513","12.6%","±4.7","38,538","±1,230","4,236","±1,306","11.0%","±3.3","49,878","±1,087","8,657","±2,065","17.4%","±4.2"
"    Female","157,277,946","±34,322","26,872,343","±144,209","17.1%","±0.1","5,013,226","±8,114","1,027,787","±23,083","20.5%","±0.5","35,546","±515","5,482","±1,633","15.4%","±4.6","49,704","±1,767","12,097","±2,763","24.3%","±5.1","78,209","±949","23,185","±3,172","29.6%","±4.0","33,551","±1,678","11,136","±2,417","33.2%","±6.5","56,376","±1,230","11,531","±2,630","20.5%","±4.6","33,475","±591","6,059","±1,856","18.1%","±5.5","138,581","±1,571","30,274","±3,333","21.8%","±2.4","113,027","±1,698","15,241","±3,611","13.5%","±3.2","57,476","±1,372","22,020","±2,553","38.3%","±4.2","136,973","±1,099","36,421","±4,492","26.6%","±3.3","365,151","±1,174","51,062","±6,141","14.0%","±1.7","69,010","±1,019","5,798","±1,684","8.4%","±2.4","67,990","±776","12,485","±2,517","18.4%","±3.7","365,955","±1,568","76,135","±5,897","20.8%","±1.6","47,615","±854","15,685","±2,110","32.9%","±4.3","70,950","±1,392","15,880","±3,703","22.4%","±5.1","55,665","±1,013","4,508","±1,605","8.1%","±2.9","46,747","±1,256","11,041","±2,174","23.6%","±4.6","97,643","±550","8,829","±1,783","9.0%","±1.8","493,252","±1,919","97,029","±7,632","19.7%","±1.5","43,817","±1,492","10,755","±2,283","24.5%","±5.1","434,782","±1,282","60,891","±7,675","14.0%","±1.8","90,445","±1,274","20,610","±3,177","22.8%","±3.4","108,848","±1,035","14,140","±3,854","13.0%","±3.5","74,148","±982","13,832","±3,290","18.7%","±4.4","31,514","±679","7,239","±1,584","23.0%","±4.9","55,674","±916","15,127","±2,153","27.2%","±3.8","101,154","±1,061","23,900","±3,364","23.6%","±3.3","53,332","±1,256","8,571","±2,264","16.1%","±4.1","74,962","±1,095","11,836","±3,548","15.8%","±4.7","101,979","±1,019","28,501","±3,836","27.9%","±3.8","44,998","±1,257","7,958","±1,824","17.7%","±4.0","35,557","±871","11,517","±2,215","32.4%","±6.2","34,252","±631","5,470","±1,253","16.0%","±3.7","45,767","±1,123","6,980","±1,888","15.3%","±4.0","51,725","±668","12,922","±2,631","25.0%","±5.0"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
