"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Below poverty level!!Estimate","Georgia!!Below poverty level!!Margin of Error","Georgia!!Percent below poverty level!!Estimate","Georgia!!Percent below poverty level!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Below poverty level!!Estimate","Barrow County, Georgia!!Below poverty level!!Margin of Error","Barrow County, Georgia!!Percent below poverty level!!Estimate","Barrow County, Georgia!!Percent below poverty level!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!Below poverty level!!Estimate","Bartow County, Georgia!!Below poverty level!!Margin of Error","Bartow County, Georgia!!Percent below poverty level!!Estimate","Bartow County, Georgia!!Percent below poverty level!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!Below poverty level!!Estimate","Bibb County, Georgia!!Below poverty level!!Margin of Error","Bibb County, Georgia!!Percent below poverty level!!Estimate","Bibb County, Georgia!!Percent below poverty level!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!Below poverty level!!Estimate","Bulloch County, Georgia!!Below poverty level!!Margin of Error","Bulloch County, Georgia!!Percent below poverty level!!Estimate","Bulloch County, Georgia!!Percent below poverty level!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!Below poverty level!!Estimate","Carroll County, Georgia!!Below poverty level!!Margin of Error","Carroll County, Georgia!!Percent below poverty level!!Estimate","Carroll County, Georgia!!Percent below poverty level!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!Below poverty level!!Estimate","Chatham County, Georgia!!Below poverty level!!Margin of Error","Chatham County, Georgia!!Percent below poverty level!!Estimate","Chatham County, Georgia!!Percent below poverty level!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!Below poverty level!!Estimate","Cherokee County, Georgia!!Below poverty level!!Margin of Error","Cherokee County, Georgia!!Percent below poverty level!!Estimate","Cherokee County, Georgia!!Percent below poverty level!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Below poverty level!!Estimate","Clarke County, Georgia!!Below poverty level!!Margin of Error","Clarke County, Georgia!!Percent below poverty level!!Estimate","Clarke County, Georgia!!Percent below poverty level!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!Below poverty level!!Estimate","Clayton County, Georgia!!Below poverty level!!Margin of Error","Clayton County, Georgia!!Percent below poverty level!!Estimate","Clayton County, Georgia!!Percent below poverty level!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!Below poverty level!!Estimate","Cobb County, Georgia!!Below poverty level!!Margin of Error","Cobb County, Georgia!!Percent below poverty level!!Estimate","Cobb County, Georgia!!Percent below poverty level!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!Below poverty level!!Estimate","Columbia County, Georgia!!Below poverty level!!Margin of Error","Columbia County, Georgia!!Percent below poverty level!!Estimate","Columbia County, Georgia!!Percent below poverty level!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!Below poverty level!!Estimate","Coweta County, Georgia!!Below poverty level!!Margin of Error","Coweta County, Georgia!!Percent below poverty level!!Estimate","Coweta County, Georgia!!Percent below poverty level!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!Below poverty level!!Estimate","DeKalb County, Georgia!!Below poverty level!!Margin of Error","DeKalb County, Georgia!!Percent below poverty level!!Estimate","DeKalb County, Georgia!!Percent below poverty level!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!Below poverty level!!Estimate","Dougherty County, Georgia!!Below poverty level!!Margin of Error","Dougherty County, Georgia!!Percent below poverty level!!Estimate","Dougherty County, Georgia!!Percent below poverty level!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!Below poverty level!!Estimate","Douglas County, Georgia!!Below poverty level!!Margin of Error","Douglas County, Georgia!!Percent below poverty level!!Estimate","Douglas County, Georgia!!Percent below poverty level!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!Below poverty level!!Estimate","Fayette County, Georgia!!Below poverty level!!Margin of Error","Fayette County, Georgia!!Percent below poverty level!!Estimate","Fayette County, Georgia!!Percent below poverty level!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!Below poverty level!!Estimate","Floyd County, Georgia!!Below poverty level!!Margin of Error","Floyd County, Georgia!!Percent below poverty level!!Estimate","Floyd County, Georgia!!Percent below poverty level!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!Below poverty level!!Estimate","Forsyth County, Georgia!!Below poverty level!!Margin of Error","Forsyth County, Georgia!!Percent below poverty level!!Estimate","Forsyth County, Georgia!!Percent below poverty level!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!Below poverty level!!Estimate","Fulton County, Georgia!!Below poverty level!!Margin of Error","Fulton County, Georgia!!Percent below poverty level!!Estimate","Fulton County, Georgia!!Percent below poverty level!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!Below poverty level!!Estimate","Glynn County, Georgia!!Below poverty level!!Margin of Error","Glynn County, Georgia!!Percent below poverty level!!Estimate","Glynn County, Georgia!!Percent below poverty level!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!Below poverty level!!Estimate","Gwinnett County, Georgia!!Below poverty level!!Margin of Error","Gwinnett County, Georgia!!Percent below poverty level!!Estimate","Gwinnett County, Georgia!!Percent below poverty level!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!Below poverty level!!Estimate","Hall County, Georgia!!Below poverty level!!Margin of Error","Hall County, Georgia!!Percent below poverty level!!Estimate","Hall County, Georgia!!Percent below poverty level!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!Below poverty level!!Estimate","Henry County, Georgia!!Below poverty level!!Margin of Error","Henry County, Georgia!!Percent below poverty level!!Estimate","Henry County, Georgia!!Percent below poverty level!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!Below poverty level!!Estimate","Houston County, Georgia!!Below poverty level!!Margin of Error","Houston County, Georgia!!Percent below poverty level!!Estimate","Houston County, Georgia!!Percent below poverty level!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!Below poverty level!!Estimate","Lowndes County, Georgia!!Below poverty level!!Margin of Error","Lowndes County, Georgia!!Percent below poverty level!!Estimate","Lowndes County, Georgia!!Percent below poverty level!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!Below poverty level!!Estimate","Muscogee County, Georgia!!Below poverty level!!Margin of Error","Muscogee County, Georgia!!Percent below poverty level!!Estimate","Muscogee County, Georgia!!Percent below poverty level!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!Below poverty level!!Estimate","Newton County, Georgia!!Below poverty level!!Margin of Error","Newton County, Georgia!!Percent below poverty level!!Estimate","Newton County, Georgia!!Percent below poverty level!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!Below poverty level!!Estimate","Paulding County, Georgia!!Below poverty level!!Margin of Error","Paulding County, Georgia!!Percent below poverty level!!Estimate","Paulding County, Georgia!!Percent below poverty level!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!Below poverty level!!Estimate","Richmond County, Georgia!!Below poverty level!!Margin of Error","Richmond County, Georgia!!Percent below poverty level!!Estimate","Richmond County, Georgia!!Percent below poverty level!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!Below poverty level!!Estimate","Rockdale County, Georgia!!Below poverty level!!Margin of Error","Rockdale County, Georgia!!Percent below poverty level!!Estimate","Rockdale County, Georgia!!Percent below poverty level!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!Below poverty level!!Estimate","Troup County, Georgia!!Below poverty level!!Margin of Error","Troup County, Georgia!!Percent below poverty level!!Estimate","Troup County, Georgia!!Percent below poverty level!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!Below poverty level!!Estimate","Walker County, Georgia!!Below poverty level!!Margin of Error","Walker County, Georgia!!Percent below poverty level!!Estimate","Walker County, Georgia!!Percent below poverty level!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!Below poverty level!!Estimate","Walton County, Georgia!!Below poverty level!!Margin of Error","Walton County, Georgia!!Percent below poverty level!!Estimate","Walton County, Georgia!!Percent below poverty level!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!Below poverty level!!Estimate","Whitfield County, Georgia!!Below poverty level!!Margin of Error","Whitfield County, Georgia!!Percent below poverty level!!Estimate","Whitfield County, Georgia!!Percent below poverty level!!Margin of Error"
"    One race","293,402,168","±78,857","44,577,836","±238,231","15.2%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","224,197,343","±136,015","27,951,752","±171,930","12.5%","±0.1","5,764,848","±18,600","721,138","±22,788","12.5%","±0.4","57,407","±2,252","5,980","±2,149","10.4%","±3.7","81,022","±1,807","9,687","±3,296","12.0%","±4.0","64,795","±2,298","6,603","±2,133","10.2%","±3.1","45,579","±1,256","13,112","±1,999","28.8%","±4.3","82,979","±1,668","11,626","±2,929","14.0%","±3.5","138,125","±5,631","16,803","±3,607","12.2%","±2.3","186,906","±2,727","11,514","±2,797","6.2%","±1.5","66,634","±4,339","23,580","±3,930","35.4%","±4.6","50,211","±3,608","8,216","±2,958","16.4%","±5.6","427,072","±5,750","40,695","±5,440","9.5%","±1.2","95,407","±2,160","7,815","±3,183","8.2%","±3.3","98,723","±1,479","7,250","±2,338","7.3%","±2.4","242,541","±5,072","29,501","±5,342","12.2%","±2.1","27,347","±434","3,953","±1,419","14.5%","±5.2","71,168","±2,505","8,020","±2,727","11.3%","±3.8","76,482","±1,446","5,466","±2,056","7.1%","±2.7","74,273","±2,229","10,129","±2,538","13.6%","±3.4","151,497","±3,213","10,002","±3,214","6.6%","±2.1","405,146","±7,113","33,356","±4,771","8.2%","±1.1","52,794","±1,412","5,456","±1,802","10.3%","±3.3","431,331","±8,929","43,690","±7,632","10.1%","±1.7","144,019","±4,711","20,064","±4,007","13.9%","±2.7","113,181","±2,476","9,044","±3,133","8.0%","±2.7","87,133","±1,521","8,870","±3,026","10.2%","±3.4","60,871","±1,674","8,433","±2,041","13.9%","±3.3","80,516","±2,247","10,616","±2,637","13.2%","±3.2","53,327","±1,386","7,378","±2,250","13.8%","±4.3","112,268","±1,356","8,204","±2,520","7.3%","±2.2","76,726","±1,984","15,294","±3,107","19.9%","±4.0","39,653","±1,954","3,457","±1,620","8.7%","±3.9","41,450","±711","5,174","±1,909","12.5%","±4.6","62,749","±658","10,020","±2,592","16.0%","±4.2","65,819","±657","7,476","±2,342","11.4%","±3.6","85,038","±3,942","18,085","±3,650","21.3%","±4.4"
"        Black or African American","37,200,236","±54,789","10,099,631","±96,200","27.1%","±0.3","2,865,120","±12,043","766,120","±23,081","26.7%","±0.8","N","N","N","N","N","N","N","N","N","N","N","N","74,649","±2,337","30,506","±4,041","40.9%","±5.0","18,682","±1,233","8,342","±2,386","44.7%","±11.4","19,871","±1,682","6,667","±2,047","33.6%","±9.3","102,845","±3,561","28,531","±4,743","27.7%","±4.5","12,047","±1,067","3,394","±1,929","28.2%","±15.5","28,368","±1,529","10,237","±2,973","36.1%","±9.8","166,850","±3,504","38,479","±6,607","23.1%","±3.9","171,438","±2,387","37,024","±6,577","21.6%","±3.8","19,313","±826","3,915","±1,933","20.3%","±10.0","21,323","±1,719","4,197","±2,280","19.7%","±10.6","370,910","±2,615","79,263","±8,421","21.4%","±2.3","60,019","±2,274","27,657","±3,531","46.1%","±5.7","52,101","±2,048","5,881","±2,200","11.3%","±4.1","20,492","±1,251","843","±578","4.1%","±2.8","13,376","±963","4,742","±1,900","35.5%","±13.8","N","N","N","N","N","N","394,439","±4,845","104,938","±9,682","26.6%","±2.4","20,413","±923","6,985","±3,591","34.2%","±17.8","188,191","±2,507","23,981","±5,347","12.7%","±2.8","10,960","±1,213","3,030","±1,528","27.6%","±13.3","75,590","±1,144","10,163","±3,154","13.4%","±4.2","40,026","±1,245","7,766","±2,572","19.4%","±6.5","37,727","±1,756","14,879","±2,960","39.4%","±7.6","79,232","±3,819","22,760","±3,606","28.7%","±4.3","41,114","±1,530","6,113","±2,257","14.9%","±5.5","24,581","±672","3,039","±1,513","12.4%","±6.1","104,045","±2,884","29,657","±4,704","28.5%","±4.6","40,087","±635","7,201","±3,045","18.0%","±7.5","21,356","±1,374","8,227","±2,137","38.5%","±9.9","N","N","N","N","N","N","14,482","±640","3,406","±2,620","23.5%","±17.9","4,009","±1,244","1,236","±721","30.8%","±20.0"
"        American Indian and Alaska Native","2,465,461","±28,862","701,213","±20,355","28.4%","±0.8","21,702","±3,675","4,953","±1,496","22.8%","±5.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","14,459,936","±31,213","1,801,196","±35,881","12.5%","±0.2","306,966","±5,034","38,985","±5,643","12.7%","±1.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","12,482","±932","2,650","±1,367","21.2%","±10.9","32,368","±1,227","2,317","±1,402","7.2%","±4.3","N","N","N","N","N","N","N","N","N","N","N","N","34,445","±2,432","8,030","±2,847","23.3%","±7.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","49,951","±1,868","5,423","±1,853","10.9%","±3.7","N","N","N","N","N","N","86,629","±1,573","9,212","±3,824","10.6%","±4.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander","493,951","±9,486","92,647","±9,700","18.8%","±1.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race","14,585,241","±120,157","3,931,397","±66,523","27.0%","±0.4","312,807","±16,706","122,316","±14,986","39.1%","±3.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","15,927","±3,863","7,371","±3,455","46.3%","±19.0","38,594","±5,444","11,731","±4,265","30.4%","±10.5","N","N","N","N","N","N","N","N","N","N","N","N","21,178","±4,608","11,425","±4,114","53.9%","±12.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","26,695","±5,210","5,963","±3,006","22.3%","±10.3","N","N","N","N","N","N","75,635","±8,980","31,690","±7,986","41.9%","±8.3","11,712","±4,804","8,307","±4,242","70.9%","±16.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","8,132,853","±77,114","1,638,120","±30,817","20.1%","±0.4","173,147","±10,237","34,792","±5,453","20.1%","±2.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,132","±3,116","2,150","±1,598","26.4%","±17.5","13,002","±2,805","2,883","±1,724","22.2%","±10.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,468","±3,360","3,476","±1,446","21.1%","±8.1","N","N","N","N","N","N","18,647","±3,497","997","±538","5.3%","±3.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,795","±2,008","1,478","±1,207","25.5%","±16.7","N","N","N","N","N","N","N","N","N","N","N","N","5,801","±1,924","2,461","±1,424","42.4%","±16.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,858","±1,630","1,670","±1,126","43.3%","±19.2"
"Hispanic or Latino origin (of any race)","49,703,511","±19,654","12,306,535","±98,284","24.8%","±0.2","836,500","±2,559","266,473","±15,686","31.9%","±1.9","N","N","N","N","N","N","7,630","±155","2,475","±1,444","32.4%","±19.0","N","N","N","N","N","N","N","N","N","N","N","N","6,737","±167","2,575","±1,285","38.2%","±18.9","13,828","±752","5,483","±1,973","39.7%","±14.2","20,518","±405","4,926","±2,746","24.0%","±13.4","11,800","±337","5,288","±2,323","44.8%","±19.6","35,362","±94","13,349","±4,008","37.7%","±11.3","84,789","±169","25,448","±5,304","30.0%","±6.3","N","N","N","N","N","N","8,546","±81","1,050","±803","12.3%","±9.4","67,193","±736","23,990","±5,199","35.7%","±7.8","N","N","N","N","N","N","11,160","±85","2,574","±1,792","23.1%","±16.1","6,831","±4","2,365","±1,514","34.6%","±22.2","8,425","±608","3,421","±1,658","40.6%","±19.2","16,616","±224","3,612","±2,376","21.7%","±14.3","71,368","±735","17,176","±4,534","24.1%","±6.3","N","N","N","N","N","N","160,693","±1,571","50,605","±8,660","31.5%","±5.3","45,953","±718","18,650","±4,462","40.6%","±9.7","11,685","±369","2,608","±1,694","22.3%","±14.5","8,525","±134","3,227","±1,463","37.9%","±17.4","N","N","N","N","N","N","10,314","±636","1,738","±925","16.9%","±8.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,154","±300","2,442","±1,390","29.9%","±17.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","31,890","±1,027","11,655","±2,870","36.5%","±9.0"
"White alone, not Hispanic or Latino","192,355,136","±40,333","20,437,539","±135,747","10.6%","±0.1","5,299,018","±6,828","592,696","±17,803","11.2%","±0.3","53,862","±2,450","5,367","±2,080","10.0%","±3.8","78,692","±885","8,428","±2,971","10.7%","±3.8","61,762","±1,677","5,525","±1,519","8.9%","±2.4","45,320","±1,196","13,019","±1,983","28.7%","±4.3","78,763","±1,203","10,459","±2,668","13.3%","±3.4","128,320","±4,402","13,514","±3,102","10.5%","±2.2","174,541","±648","9,358","±2,374","5.4%","±1.4","57,713","±3,339","19,737","±3,199","34.2%","±4.4","35,471","±622","3,447","±1,108","9.7%","±3.2","384,477","±1,534","28,502","±3,968","7.4%","±1.0","90,981","±1,679","6,525","±2,688","7.2%","±3.0","92,569","±556","6,894","±2,295","7.4%","±2.5","199,010","±2,071","17,028","±3,001","8.6%","±1.5","27,021","±247","3,953","±1,419","14.6%","±5.3","64,674","±599","6,657","±2,238","10.3%","±3.4","71,757","±664","3,722","±1,352","5.2%","±1.9","67,997","±1,756","7,980","±1,928","11.7%","±2.8","140,562","±1,201","8,366","±3,052","6.0%","±2.2","365,573","±4,006","24,145","±3,355","6.6%","±0.9","51,158","±442","4,541","±1,641","8.9%","±3.2","353,484","±1,275","25,403","±4,667","7.2%","±1.3","112,842","±984","10,386","±2,531","9.2%","±2.2","106,205","±1,022","7,261","±2,600","6.8%","±2.5","83,975","±963","8,358","±3,007","10.0%","±3.5","59,221","±1,300","8,025","±1,988","13.6%","±3.3","75,153","±1,834","9,493","±2,498","12.6%","±3.3","51,408","±725","7,378","±2,250","14.4%","±4.4","106,228","±882","7,086","±2,461","6.7%","±2.3","72,829","±1,338","14,125","±3,023","19.4%","±4.1","34,961","±67","1,935","±921","5.5%","±2.6","39,808","±598","5,001","±1,906","12.6%","±4.8","62,656","±644","9,938","±2,575","15.9%","±4.1","65,465","±497","7,384","±2,330","11.3%","±3.6","61,651","±2,285","8,968","±2,305","14.5%","±3.9"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","200,754,557","±74,823","23,349,887","±102,055","11.6%","±0.1","6,108,996","±7,945","831,955","±19,411","13.6%","±0.3","44,528","±1,188","3,704","±1,413","8.3%","±3.2","63,614","±1,733","6,918","±1,994","10.9%","±3.2","95,307","±1,485","17,436","±2,402","18.3%","±2.5","36,108","±529","6,012","±1,394","16.7%","±3.8","67,739","±1,338","9,588","±1,762","14.2%","±2.6","165,529","±5,203","22,433","±2,435","13.6%","±1.5","139,672","±1,280","9,615","±1,889","6.9%","±1.4","58,993","±1,460","12,109","±2,585","20.5%","±4.3","153,370","±1,712","27,894","±4,667","18.2%","±3.0","447,286","±1,157","44,517","±4,484","10.0%","±1.0","78,107","±1,826","6,522","±2,145","8.4%","±2.7","82,579","±967","6,692","±1,630","8.1%","±2.0","451,613","±1,290","67,567","±6,516","15.0%","±1.4","56,862","±1,071","15,449","±2,350","27.2%","±4.2","83,500","±1,081","7,326","±1,810","8.8%","±2.1","70,200","±1,064","3,453","±998","4.9%","±1.4","61,123","±1,542","9,215","±2,021","15.1%","±3.3","111,493","±1,399","6,176","±1,846","5.5%","±1.7","601,113","±1,268","78,935","±6,187","13.1%","±1.0","53,153","±1,377","6,070","±1,598","11.4%","±3.1","501,683","±1,456","52,577","±6,137","10.5%","±1.2","110,310","±1,176","15,745","±2,651","14.3%","±2.4","127,796","±1,183","11,013","±2,398","8.6%","±1.9","88,733","±1,313","8,632","±1,751","9.7%","±1.9","62,154","±1,000","8,974","±1,768","14.4%","±2.8","111,369","±3,367","17,975","±2,204","16.1%","±1.9","62,035","±1,005","7,361","±1,830","11.9%","±3.0","87,855","±1,031","5,762","±1,495","6.6%","±1.7","120,927","±3,745","23,327","±3,306","19.3%","±2.7","54,126","±1,313","4,347","±1,268","8.0%","±2.3","40,924","±1,160","6,019","±1,422","14.7%","±3.4","46,225","±752","5,680","±1,506","12.3%","±3.2","53,929","±1,069","6,714","±1,715","12.4%","±3.1","61,818","±3,199","10,498","±2,072","17.0%","±3.4"
