HSI #,Site Name,Lattitude,Longitude,Address,City,County,List Date,Class,Site Summary,Investigation/ Cleanup Funding,Icon
10334,"Polychem, LTD",34.84361,-84.98028,2305 Dover Street,Dalton,Whitfield,10/4/94,II,https://epd.georgia.gov/document/pdf/23-10334/download,RP,small_red
10337,Wallace Lake Road Dump,33.72167,-84.70556,3045 Wallace Lake Rd,Douglasville,Douglas,10/17/94,I,https://epd.georgia.gov/document/pdf/23-10337/download,A,small_yellow
10340,"CPI Plastics, L.L.C.",33.34306,-84.79361,434 Corinth Road,Newnan,Coweta,10/17/94,IV,https://epd.georgia.gov/document/pdf/23-10340/download,RP,small_red
10346,"SAFT America, Inc.",30.80222,-83.28778,711 Gil Harbin Industrial Blvd.,Valdosta,Lowndes,11/22/94,IV,https://epd.georgia.gov/document/pdf/23-10346/download,RP,small_red
10348,Bumper Distributors of Atlanta,33.74333,-84.40889,471 Peters Street SW,Atlanta,Fulton,11/23/94,I,https://epd.georgia.gov/document/pdf/23-10348/download,A,small_yellow
10351,ARAMARK Uniform Services,32.06583,-81.04583,2610 Causton Bluff Road,Savannah,Chatham,11/29/94,V,https://epd.georgia.gov/document/pdf/23-10351/download,RP,small_red
10352,Atlanta Gas Light Company - Griffin MGP Site,33.24389,-84.26833,314 West College Street,Griffin,Spalding,1/11/95,V,https://epd.georgia.gov/document/pdf/23-10352/download,RP,small_red
10353,Marzone/Chevron - NPL Site OU2 (formerly Golden Seed Site),31.42972,-83.50194,Golden Road,Tifton,Tift,1/3/95,IV,https://epd.georgia.gov/document/pdf/23-10353/download,RP,small_red
10354,Barnett Shoals Road,33.92528,-83.34083,1860 S Barnett Shoals Road,Athens,Clarke,3/9/95,I,https://epd.georgia.gov/document/pdf/23-10354/download,A,small_yellow
10355,General Time Corporation,33.98000,-83.39389,100 Newton Bridge Road,Athens,Clarke,1/30/95,V,https://epd.georgia.gov/document/pdf/23-10355/download,RP,small_red
10360,Douglas & Lomason Company,33.58361,-85.09417,1001 Alabama Street,Carrollton,Carroll,3/13/95,V,https://epd.georgia.gov/document/pdf/23-10360/download,RP,small_red
10365,Goldberg Brothers,33.43861,-81.99389,241 Dan Bowles Road,Augusta,Richmond,4/6/95,I,https://epd.georgia.gov/document/pdf/23-10365/download,A,small_yellow
10366,"Forstmann & Company, Inc.  (1,1-DCA Site)",32.53472,-82.87972,161 Nathaniel Drive,East Dublin,Laurens,4/6/95,V,https://epd.georgia.gov/document/pdf/23-10366/download,A,small_yellow
10367,Sun Laboratories of Atlanta,33.75750,-84.55111,701 Wharton Circle,Atlanta,Fulton,4/10/95,II,https://epd.georgia.gov/document/pdf/23-10367/download,A,small_yellow
10371,Southern States Phosphate & Fertilizer Co.,32.07333,-81.06250,1600 East President St.,Savannah,Chatham,5/23/98,V,https://epd.georgia.gov/document/pdf/23-10371/download,RP,small_red
10372,"Truman Parkway, Phase II",32.06944,-81.07472,President Street,Savannah,Chatham,5/8/95,II,https://epd.georgia.gov/document/pdf/23-10372/download,A,small_yellow
10376,"Loef Company, Inc. (The)",33.98167,-83.34250,590 Old Hull Road,Athens,Clarke,6/5/95,V,https://epd.georgia.gov/document/pdf/23-10376/download,RP,small_red
10382,"GNB Technologies, Inc.",32.43611,-84.93194,3639 Joy Rd.,Columbus,Muscogee,7/24/95,IV,https://epd.georgia.gov/document/pdf/23-10382/download,RP,small_red
10384,J. Strom Thurmond Lake Airstrip #1,33.66000,-82.24778,North of 221  &  West of Boating Club Road,Appling,Columbia,8/11/95,I,https://epd.georgia.gov/document/pdf/23-10384/download,RP,small_red
10385,Baldwin County Sanitary Landfill,32.96528,-83.33306,170 Union Hill Church Road,Milledgeville,Baldwin,8/4/95,IV,https://epd.georgia.gov/document/pdf/23-10385/download,L,small_green 
10386,Laurens County Municipal Solid Waste Landfill,32.56083,-82.99306,County Landfill Road.,Dublin,Laurens,8/4/95,IV,https://epd.georgia.gov/document/pdf/23-10386/download,L,small_green 
10387,Hightower Road  MSW Landfill - Phase 2,34.32972,-84.25639,9480 Old Federal Road,Ball Ground,Forsyth,8/4/95,IV,https://epd.georgia.gov/document/pdf/23-10387/download,L,small_green 
10388,Madison County Sanitary Landfill 2&3 (SL),34.09833,-83.20361,Martin Foote Road (Colbert Road),Danielsville,Madison,8/4/95,IV,https://epd.georgia.gov/document/pdf/23-10388/download,L,small_green 
10389,Morgan County Municipal Solid Waste Landfill,33.63194,-83.45306,2480 Athens Highway (Hwy 441 North),Madison,Morgan,8/4/95,IV,https://epd.georgia.gov/document/pdf/23-10389/download,L,small_green 
10390,Screven County Municipal Solid Waste Landfill,32.74444,-81.68361,Rocky Ford Road west of Waters Station Road,Sylvania,Screven,8/4/95,IV,https://epd.georgia.gov/document/pdf/23-10390/download,L,small_green 
10391,Statesboro/Bulloch County Lakeview Rd. Landfill,32.48083,-81.78972,Lakeview Road,Statesboro,Bulloch,8/4/95,IV,https://epd.georgia.gov/document/pdf/23-10391/download,L,small_green 
10392,Clayton Co. SR3- Lovejoy Site #2 MSWL,33.43861,-84.30667,11866 Hastings Bridge Road,Lovejoy,Clayton,8/4/95,IV,https://epd.georgia.gov/document/pdf/23-10392/download,L,small_green 
10393,Tift Site,33.66694,-84.42583,South Martin Street,East Point,Fulton,8/21/95,I,https://epd.georgia.gov/document/pdf/23-10393/download,RP,small_red
10395,"Hunter Army Airfield, Fire Training Area",32.01444,-81.14417,Northwest portion of airfield,Savannah,Chatham,8/25/95,II,https://epd.georgia.gov/document/pdf/23-10395/download,RP,small_red
10401,"Forstmann & Company, Inc. (Old Burn Pit)",32.54028,-82.88528,161 Nathaniel Drive,East Dublin,Laurens,10/20/95,II,https://epd.georgia.gov/document/pdf/23-10401/download,A,small_yellow
10402,Central of Georgia Railroad Company - Macon Site,32.82389,-83.63444,Ash St. and MLK Jr. Blvd.,Macon,Bibb,11/8/95,II,https://epd.georgia.gov/document/pdf/23-10402/download,RP,small_red
10404,Celanese Fiber Company,34.27222,-85.16750,Between Riverside Parkway and Burwell Creek,Rome,Floyd,1/10/96,II,https://epd.georgia.gov/document/pdf/23-10404/download,RP,small_red
10405,"AMC International, Inc.",34.70778,-84.95500,310 Brookhollow Industrial Boulevard,Dalton,Whitfield,1/3/96,V,https://epd.georgia.gov/document/pdf/23-10405/download,RP,small_red
10406,"McKenzie Tank Lines, Inc.",32.13778,-81.15278,111 Grange Rd.,Port Wentworth,Chatham,1/5/96,V,https://epd.georgia.gov/document/pdf/23-10406/download,RP,small_red
10422,Stephenson Chemical Company,33.62917,-84.46917,2444 West Point Road,College Park,Fulton,9/12/96,I,https://epd.georgia.gov/document/pdf/23-10422/download,A,small_yellow
10426,Hoxsie's Cleaners (Former),32.07167,-84.23222,106 South Lee Street,Americus,Sumter,12/20/96,I,https://epd.georgia.gov/document/pdf/23-10426/download,A,small_yellow
10427,Vulcan Performance Chemicals (Former),33.81917,-84.50167,5544 Oakdale Road,Smyrna,Cobb,11/15/96,V,https://epd.georgia.gov/document/pdf/23-10427/download,RP,small_red
10428,Home Oil,31.37778,-84.94500,223 Cherry Avenue,Blakely,Early,1/24/97,II,https://epd.georgia.gov/document/pdf/23-10428/download,RP,small_red
10429,ARAMARK Uniform Services,30.84889,-83.99167,202 N. Cassidy Road,Thomasville,Thomas,1/24/97,V,https://epd.georgia.gov/document/pdf/23-10429/download,RP,small_red
10430,Rental Uniform Service of Griffin,33.22528,-84.27917,1156 Uniform Road,Griffin,Spalding,3/19/97,V,https://epd.georgia.gov/document/pdf/23-10430/download,RP,small_red
10437,"GIW Industries, Inc.",33.45694,-82.18806,5000 Wrightsboro Road,Grovetown,Columbia,2/10/97,II,https://epd.georgia.gov/document/pdf/23-10437/download,RP,small_red
10438,Jones County Municipal Solid Waste Landfill,32.98333,-83.53417,Cumslo Road,Gray,Jones,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10438/download,L,small_green 
10440,Blue Ribbon Dry Cleaners,32.05861,-81.10444,2021 Montgomery Street,Savannah,Chatham,3/3/97,I,https://epd.georgia.gov/document/pdf/23-10440/download,RP,small_red
10441,Cascade Springs Dry Cleaner,33.72167,-84.50639,1180 Utoy Springs Rd. SW,Atlanta,Fulton,4/2/97,I,https://epd.georgia.gov/document/pdf/23-10441/download,A,small_yellow
10443,Mindis Recycling-Shredding Division,33.80889,-84.46333,2100 Spink Street,Atlanta,Fulton,6/15/98,II,https://epd.georgia.gov/document/pdf/23-10443/download,RP,small_red
10445,White County - Duke's Creek MSW  Landfill,34.66972,-83.76083,Asbestos Road/Hwy 75 Alternate,Cleveland,White,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10445/download,L,small_green 
10446,Macon County SR 49 North MSWL,32.36472,-84.01944,SR 49 North,Oglethorpe,Macon,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10446/download,L,small_green 
10447,Dougherty Co. - Fleming Rd. MSW Landfill,31.53278,-84.02833,3600 Fleming Road,Albany,Dougherty,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10447/download,L,small_green 
10448,Spalding County - Yamacraw Road MSWL,33.25750,-84.15944,350 Parham Road,Griffin,Spalding,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10448/download,L,small_green 
10449,Griffin - Shoal Creek Road Landfill,33.25278,-84.37583,281 Shoal Creek Road,Griffin,Spalding,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10449/download,L,small_green 
10450,Burke County Landfill,33.08000,-81.96528,804 Landfill Road,Waynesboro,Burke,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10450/download,L,small_green 
10451,Fayette County - 1st Manassas Mile Road MSWLF,33.43833,-84.47667,1st Manassas Mile Road,Fayetteville,Fayette,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10451/download,L,small_green 
10452,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",31.09111,-83.84528,1816 Shade Murphy Road,Moultrie,Colquitt,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10452/download,L,small_green 
10453,Lowndes County-State Road 31 MSWL,30.67639,-83.32250,State Road 31,Clyattville,Lowndes,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10453/download,L,small_green 
10454,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,34.50583,-85.29639,Penn Bridge Road,Summerville,Chattooga,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10454/download,L,small_green 
10455,"Washington County Landfill-Kaolin Road, Site #2",32.95583,-82.83528,1862 Kaolin Road,Sandersville,Washington,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10455/download,L,small_green 
10456,Barnesville-Goggins Road MSWL,33.06583,-84.13778,157 Crawford Road,Barnesville,Lamar,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10456/download,L,small_green 
10457,Houser's Mill Road MSWLF,32.57167,-83.76056,Clint Howard Road,Fort Valley,Peach,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10457/download,L,small_green 
10458,Habersham County Pea Ridge Road Landfill,34.52583,-83.58833,Frank Arrowood Rd.,Cornelia,Habersham,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10458/download,L,small_green 
10459,Seaboard Industrial Blvd. Site,33.80833,-84.43167,Seaboard Industrial Blvd.,Atlanta,Fulton,3/14/97,II,https://epd.georgia.gov/document/pdf/23-10459/download,RP,small_red
10460,"Ware County-US 82, Waresboro MSWL",31.27111,-82.46972,4497 Lovett Road,Waresboro,Ware,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10460/download,L,small_green 
10461,"Stephens County SR 145, Phases 2 & 3 MSWL",34.54028,-83.30917,106 Landfill Circle (off SR 145/Liberty Hill Rd),Toccoa,Stephens,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10461/download,L,small_green 
10462,Wilkes County-CR 40 MSWL,33.69528,-82.73778,150 Landfill Road,Washington,Wilkes,3/27/97,IV,https://epd.georgia.gov/document/pdf/23-10462/download,L,small_green 
10464,Vopak Terminal Savannah,32.11667,-81.13333,"Georgia Port Auth Gate No. 2, Turner & Hart St.",Garden City,Chatham,4/22/97,III,https://epd.georgia.gov/document/pdf/23-10464/download,RP,small_red
10466,"Baychem, Inc.",34.04028,-84.61417,3200 Moon Station Road,Kennesaw,Cobb,6/13/97,V,https://epd.georgia.gov/document/pdf/23-10466/download,RP,small_red
10467,Bleckley County Municipal Landfill,32.42139,-83.30944,794 E GA Hwy 26,Cochran,Bleckley,4/28/97,IV,https://epd.georgia.gov/document/pdf/23-10467/download,L,small_green 
10472,Parker Hannifin Corp./Abex NWL Div.,32.51639,-82.94444,2010 Academy Ave.,Dublin,Laurens,7/25/97,V,https://epd.georgia.gov/document/pdf/23-10472/download,RP,small_red
10474,Bekaert Corporation,34.22000,-85.17028,"301 Darlington Drive, SE",Rome,Floyd,7/25/97,V,https://epd.georgia.gov/document/pdf/23-10474/download,RP,small_red
10475,LaGrange - Municipal Solid Waste Landfill,33.04750,-84.95583,2233 Greenville Road (Highway 109),LaGrange,Troup,7/30/97,IV,https://epd.georgia.gov/document/pdf/23-10475/download,L,small_green 
10476,Calhoun - Harris Rd. Phase 4 (L),34.49167,-84.99361,788 Harris Beamer Road,Calhoun,Gordon,7/30/97,IV,https://epd.georgia.gov/document/pdf/23-10476/download,L,small_green 
10477,Ocilla - SR 32 East MSWL,31.59694,-83.14000,State Highway 32 East,Wray,Irwin,7/30/97,IV,https://epd.georgia.gov/document/pdf/23-10477/download,L,small_green 
10478,Heard Co. - Frolona Rd. MSWL,33.30139,-85.17722,Salem Road,Franklin,Heard,6/24/97,IV,https://epd.georgia.gov/document/pdf/23-10478/download,L,small_green 
10479,Greene County - US 278 West MSWL,33.61417,-83.10222,Old Union Point Rd. & Landfill Rd.,Union Point,Greene,7/30/97,IV,https://epd.georgia.gov/document/pdf/23-10479/download,L,small_green 
10480,"Jackson County - SR 82 North, Phase II MSWL",34.14500,-83.55056,170 Fowler Drive,Jefferson,Jackson,7/30/97,IV,https://epd.georgia.gov/document/pdf/23-10480/download,L,small_green 
10481,"Arch Wood Protection, Inc. (fka Hickson Corporation)",33.66139,-84.32639,1579 Koppers Road,Conley,DeKalb,6/30/97,IV,https://epd.georgia.gov/document/pdf/23-10481/download,RP,small_red
10482,Rockyface-Westside Municipal Solid Waste Landfill,34.75000,-85.04694,2598 Landfill Road,Rockyface,Whitfield,7/30/97,IV,https://epd.georgia.gov/document/pdf/23-10482/download,L,small_green 
10484,Rabun Co. - Eastman Mountain Road Landfill,34.80972,-83.40972,"E of Highway 441, S of Boen Creek Rd & Longview Rd",Clayton,Rabun,7/30/97,IV,https://epd.georgia.gov/document/pdf/23-10484/download,L,small_green 
10485,"Forsyth, Old Brent Rd. MSWL",33.01861,-83.95611,Old Brent Road,Forsyth,Monroe,7/30/97,IV,https://epd.georgia.gov/document/pdf/23-10485/download,L,small_green 
10486,Orkin Pest Control,32.46278,-84.93000,3709 Buena Vista Road,Columbus,Muscogee,7/31/97,II,https://epd.georgia.gov/document/pdf/23-10486/download,RP,small_red
10490,Lumpkin Co. - Barlow  Rd. MSWL,34.52444,-83.99917,Barlow  Rd. off State Hwy. 9,Dahlonega,Lumpkin,8/14/97,IV,https://epd.georgia.gov/document/pdf/23-10490/download,L,small_green 
10494,Ruby Quarry Asphalt Plant Site,32.92361,-83.49556,Pitts Chapel Road,Gray,Jones,12/8/97,V,https://epd.georgia.gov/document/pdf/23-10494/download,RP,small_red
10495,5998  Fairburn Road - Dry Cleaners,33.75083,-84.72944,5998 Fairburn Road,Douglasville,Douglas,1/8/98,I,https://epd.georgia.gov/document/pdf/23-10495/download,A,small_yellow
10497,Savannah Dry Cleaners,32.03694,-81.08972,4110 Waters Avenue,Savannah,Chatham,2/5/98,I,https://epd.georgia.gov/document/pdf/23-10497/download,A,small_yellow
10498,General Chemical Corporation,33.67083,-84.43583,1427 Central Ave.,East Point,Fulton,2/20/98,V,https://epd.georgia.gov/document/pdf/23-10498/download,RP,small_red
10499,Eagle Rockbridge Shopping Center,33.78750,-84.21139,4450 Rockbridge Road,Stone Mountain,DeKalb,3/10/98,V,https://epd.georgia.gov/document/pdf/23-10499/download,RP,small_red
10502,Transco Railcar Facility (Former),32.82611,-83.62750,861 Seventh Street,Macon,Bibb,3/19/98,V,https://epd.georgia.gov/document/pdf/23-10502/download,RP,small_red
10505,Station at Vinings (The),33.86556,-84.46972,2810 Paces Ferry Road,Atlanta,Cobb,4/17/98,V,https://epd.georgia.gov/document/pdf/23-10505/download,RP,small_red
10508,Aladdin Cleaners,33.98833,-84.53194,1525 Canton Road,Marietta,Cobb,7/27/98,I,https://epd.georgia.gov/document/pdf/23-10508/download,A,small_yellow
10510,"Star Laundry, Inc. (Fabracare)",32.55250,-83.88778,204 S. Camellia Blvd.,Fort Valley,Peach,7/30/98,II,https://epd.georgia.gov/document/pdf/23-10510/download,RP,small_red
10511,Macon MGP Site,32.83444,-83.62056,137 Mulberry Street,Macon,Bibb,7/24/98,V,https://epd.georgia.gov/document/pdf/23-10511/download,RP,small_red
10513,Circle K Store #5259,33.96472,-84.41472,4706 Lower Roswell Road,Marietta,Cobb,9/18/98,II,https://epd.georgia.gov/document/pdf/23-10513/download,RP,small_red
10515,"Sechem, Inc.",33.96972,-84.18306,4580 S. Berkeley Lake Road,Norcross,Gwinnett,10/23/98,V,https://epd.georgia.gov/document/pdf/23-10515/download,RP,small_red
10518,North Park Pavilion Shopping Center,33.90250,-84.48167,2468 Windy Hill Road,Marietta,Cobb,1/5/99,II,https://epd.georgia.gov/document/pdf/23-10518/download,A,small_yellow
10521,Hunter Army Airfield - MCA Barracks,32.02556,-81.13722,Strachan Ave. &  Douglas St.,Savannah,Chatham,1/12/99,II,https://epd.georgia.gov/document/pdf/23-10521/download,RP,small_red
10523,American Amalgamated/Executive Dry Cleaners,33.90694,-84.10861,3880 Lawrenceville Highway,Lawrenceville,Gwinnett,2/11/99,V,https://epd.georgia.gov/document/pdf/23-10523/download,RP,small_red
10524,"Wheelers Manufacturing Company, Inc.",32.80833,-83.63722,2889 Waterville Road,Macon,Bibb,2/16/99,I,https://epd.georgia.gov/document/pdf/23-10524/download,A,small_yellow
10538,Flags Village Shopping Center,33.77778,-84.56583,356 Riverside Pkwy,Austell,Cobb,7/30/99,I,https://epd.georgia.gov/document/pdf/23-10538/download,A,small_yellow
10540,Dawson Manufacturing Company,31.76667,-84.41944,"300 Industrial Boulevard, SE",Dawson,Terrell,5/7/99,V,https://epd.georgia.gov/document/pdf/23-10540/download,RP,small_red
10542,Roswell Station,34.00528,-84.39056,1000 Marietta Highway,Roswell,Fulton,4/7/99,V,https://epd.georgia.gov/document/pdf/23-10542/download,A,small_yellow
10543,"United Technologies Automotive, Inc.",33.45028,-82.53889,1884 Warrenton Hwy NW,Thomson,McDuffie,4/12/99,V,https://epd.georgia.gov/document/pdf/23-10543/download,RP,small_red
10547,Rayloc Facility,33.77167,-84.52472,600 Rayloc Drive,Atlanta,Fulton,6/11/99,V,https://epd.georgia.gov/document/pdf/23-10547/download,RP,small_red
10548,RentRite Property,33.77278,-84.52639,"4220 Martin Luther King, Jr. Drive",Atlanta,Fulton,6/11/99,II,https://epd.georgia.gov/document/pdf/23-10548/download,RP,small_red
10553,Georgia Air National Guard/Savannah/Site 8,32.12972,-81.18583,East of Bldg. 1911 in vicinity drainage ditch,Savannah,Chatham,9/15/99,II,https://epd.georgia.gov/document/pdf/23-10553/download,RP,small_red
10573,Louisiana Pacific Corp. - Statesboro,32.41972,-81.80417,Veterans Memorial Parkway,Statesboro,Bulloch,8/24/99,V,https://epd.georgia.gov/document/pdf/23-10573/download,RP,small_red
10577,Albany Warehouse Company Site,31.60139,-84.15417,1701 North Washington Street,Albany,Dougherty,8/23/99,I,https://epd.georgia.gov/document/pdf/23-10577/download,RP,small_red
10583,"Pavilion Cleaners, Riverdale Mall",33.54278,-84.40167,286 Hwy. 138,Riverdale,Clayton,10/5/99,V,https://epd.georgia.gov/document/pdf/23-10583/download,RP,small_red
10586,Brown Steel Contractors - Broad Street Facility,33.37333,-84.79750,57 East Broad Street,Newnan,Coweta,10/15/99,V,https://epd.georgia.gov/document/pdf/23-10586/download,RP,small_red
10587,"STSE, Inc.",31.17472,-81.49111,1900 Second Street,Brunswick,Glynn,10/15/99,II,https://epd.georgia.gov/document/pdf/23-10587/download,RP,small_red
10590,Central of Georgia Railroad Company - Battlefield Park,32.07583,-81.10000,650 W. Jones St.,Savannah,Chatham,11/12/99,II,https://epd.georgia.gov/document/pdf/23-10590/download,RP,small_red
10591,"Southern Motors of Savannah, Inc.",31.98972,-81.12972,10300 Abercorn Extension,Savannah,Chatham,12/10/99,V,https://epd.georgia.gov/document/pdf/23-10591/download,RP,small_red
10594,Old National Shopping Center,33.58944,-84.47083,6055 Old National Highway,College Park,Fulton,12/7/99,V,https://epd.georgia.gov/document/pdf/23-10594/download,RP,small_red
10611,CSXT Depriest Signal Shop,32.06833,-81.08500,641 East Liberty Street,Savannah,Chatham,2/10/00,V,https://epd.georgia.gov/document/pdf/23-10611/download,RP,small_red
10614,Legion Industries,33.10194,-82.00750,370 Mills Road,Waynesboro,Burke,3/14/00,V,https://epd.georgia.gov/document/pdf/23-10614/download,RP,small_red
10620,Cherokee Shopping Center,33.44000,-82.02389,1966 Kissingbower Road,Augusta,Richmond,4/21/00,V,https://epd.georgia.gov/document/pdf/23-10620/download,RP,small_red
10625,Washington Manufacturing Company,32.94250,-82.80500,308 East Montgomery Street,Tennille,Washington,5/5/00,I,https://epd.georgia.gov/document/pdf/23-10625/download,A,small_yellow
10627,Liberty Oil and Refining,31.13139,-83.70500,312 East Yount Street,Moultrie,Colquitt,5/11/00,II,https://epd.georgia.gov/document/pdf/23-10627/download,A,small_yellow
10628,Coastal Plains Treating Company,31.43000,-83.50389,812 E. Golden Road,Tifton,Tift,6/23/01,II,https://epd.georgia.gov/document/pdf/23-10628/download,A,small_yellow
10635,Del Cook Lumber Company,31.12806,-83.42833,9th Street West,Adel,Cook,9/19/00,I,https://epd.georgia.gov/document/pdf/23-10635/download,RP,small_red
10636,One Hour Martinizing,33.94000,-84.18000,2070 Beaver Ruin Road,Norcross,Gwinnett,9/25/00,II,https://epd.georgia.gov/document/pdf/23-10636/download,RP,small_red
10640,K & D Cleaners (assoc. with Peach Orchard NPL),33.41861,-82.02417,2114 Lumpkin Road,Augusta,Richmond,12/15/00,II,https://epd.georgia.gov/document/pdf/23-10640/download,A,small_yellow
10641,"Tronox/Kerr McGee Pigments, Inc. (Former)",32.08222,-81.02583,100 Seaport Blvd.,Savannah,Chatham,10/18/00,II,https://epd.georgia.gov/document/pdf/23-10641/download,RP,small_red
10643,Berrien County Landfill,31.12778,-83.23861,CR28 & CR48,Nashville,Berrien,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10643/download,L,small_green 
10645,Quitman - SR 333 Landfill,30.75194,-83.54750,SR - 333,Quitman,Brooks,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10645/download,L,small_green 
10646,Bryan County - US 280 Mill Creek MSWLF,32.15333,-81.50972,7392 E. Highway 280,Ellabell,Bryan,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10646/download,L,small_green 
10647,Camden County Vacuna Road LF,30.78111,-81.69000,Vacuna Road,Kingsland,Camden,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10647/download,L,small_green 
10648,Carroll County / Carrollton SR 166 LF,33.55111,-85.15361,State Road 166 (Simonton Mill Road),Carrollton,Carroll,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10648/download,L,small_green 
10649,Chatham County Landfill,32.05806,-81.21472,1327 Dean Forest Road,Savannah,Chatham,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10649/download,L,small_green 
10650,Cherokee County - Blalock Road Landfill,34.14889,-84.48389,470 Blalock Road,Canton,Cherokee,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10650/download,L,small_green 
10651,Coffee County Landfill,31.57250,-82.89556,Landen Road (CR 129) and SR 206,Douglas,Coffee,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10651/download,L,small_green 
10652,Columbia County - Baker Place Road MSWLF,33.48917,-82.22889,590 Baker Place Road,Grovetown,Columbia,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10652/download,L,small_green 
10654,Dawson County Shoal Hole Road MSWL,34.43861,-84.11972,55 Transportation Lane,Dawsonville,Dawson,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10654/download,L,small_green 
10656,Dooly County - CR 101 MSWLF,32.12556,-83.84722,CR 101,Vienna,Dooly,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10656/download,L,small_green 
10657,Douglas County Landfill - Cedar Mt/Worthan Rd Phase 1,33.76556,-84.81083,1755 County Services Road,Douglasville,Douglas,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10657/download,L,small_green 
10658,Blakely - Howell Street / Pit Road MSWLF,31.40056,-84.92889,Corner of Howell Street and Pit Road,Blakely,Early,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10658/download,L,small_green 
10659,Elbert County Landfill,34.13500,-82.78083,2188 Hulmes Chapel Road,Elberton,Elbert,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10659/download,L,small_green 
10660,Emanuel Co. - SR 297 Swainsboro (SL),32.51639,-82.33278,SR 297 & Old Nunez Road,Swainsboro,Emanuel,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10660/download,L,small_green 
10661,Fannin County Landfill,34.89861,-84.34972,SR 5 and Tom Boyd Road,Blue Ridge,Fannin,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10661/download,L,small_green 
10662,Franklin County - Harrison Bridge Road MSWLF,34.34194,-83.22806,Harrison Bridge Road,Carnesville,Franklin,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10662/download,L,small_green 
10663,Fulton County Landfill,33.66917,-84.56556,Merk / Miles Road,Atlanta,Fulton,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10663/download,L,small_green 
10664,Gilmer County SR 52 - Tower Road MSWLF,34.71389,-84.49056,456 Tower Road,Ellijay,Gilmer,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10664/download,L,small_green 
10665,Glynn Co. - Cate Road C&D MSWLF,31.25861,-81.52444,1000 Pritchard Island Road,Brunswick,Glynn,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10665/download,L,small_green 
10666,Haralson County Landfill (US 78 Bremen),33.69917,-85.22944,Landfill Road,Bremen,Haralson,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10666/download,L,small_green 
10667,Hart County Landfill,34.31389,-82.93917,Landfill Road,Hartwell,Hart,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10667/download,L,small_green 
10668,West Asbury Road Phase II MSWL,33.43222,-84.17028,West Asbury Road,McDonough,Henry,10/31/00,IV,https://epd.georgia.gov/document/pdf/23-10668/download,L,small_green 
10669,Jefferson County - US 1 (Avera Rd) MSWLF,33.03083,-82.40944,1159 Clarks Mill Road,Louisville,Jefferson,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10669/download,L,small_green 
10670,Lamar County - Grove Street Extension MSWLF,33.08583,-84.20833,172 Roger Brown Drive,Barnesville,Lamar,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10670/download,L,small_green 
10671,Lee County - SR 32 MSWLF,31.73306,-84.12028,759 Hwy 32 East,Leesburg,Lee,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10671/download,L,small_green 
10672,Liberty County - Limerick Road MSWLF,31.84278,-81.39611,Limerick Road,Limerick,Liberty,1/24/01,IV,https://epd.georgia.gov/document/pdf/23-10672/download,L,small_green 
