HSI #,Site Name,Lattitude,Longitude,Address,City,County,List Date,Class,Site Summary,Investigation/ Cleanup Funding,Icon
10057,General Tire - Aldora Plant,33.05306,-84.17694,160 Aldora Street,Barnesville,Lamar,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10057/download,RP,small_red
10058,Hercules,31.16528,-81.47861,2801 Cook St,Brunswick,Glynn,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10058/download,RP,small_red
10059,Firestone Tire & Rubber Co. (Albany Plant)-NPL Site,31.56833,-84.05611,3300 Sylvester Road,Albany,Dougherty,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10059/download,RP,small_red
10060,Southwire - Copper Division,33.55583,-85.06028,372 Central High Road,Carrollton,Carroll,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10060/download,RP,small_red
10061,Southwire - Wire & Cable Division,33.55861,-85.06750,1 Southwire Drive,Carrollton,Carroll,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10061/download,RP,small_red
10062,Woolfolk Chemical Works - NPL Site,32.55083,-83.88444,Intersection of Preston & Pine,Fort Valley,Peach,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10062/download,A,small_yellow
10063,Rockbridge Square Shopping Center,33.84139,-84.13250,1227 Rockbridge Road,Stone Mountain,Gwinnett,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10063/download,A,small_yellow
10065,Merck & Company,31.49722,-84.13250,3517 Radium Springs Road,Albany,Dougherty,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10065/download,RP,small_red
10068,Rummel Fibre Company,34.24306,-85.13333,607 Turner Chapel Road,Rome,Floyd,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10068/download,RP,small_red
10070,Pelham Phosphate Company,31.14111,-84.15472,West Railroad St.,Pelham,Mitchell,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10070/download,A,small_yellow
10072,General Electric - Apparatus Service Center,33.88611,-84.31389,5035 Peachtree Industrial Blvd.,Chamblee,Dekalb,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10072/download,RP,small_red
10077,"1610 Southland Circle (fka ""Indcon"")",33.80167,-84.43333,1610 Southland Circle,Atlanta,Fulton,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10077/download,RP,small_red
10082,Univar USA Inc.,33.91333,-84.22861,2145 Skyland Court,Norcross,Gwinnett,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10082/download,RP,small_red
10083,Southern Wood Piedmont - Augusta,33.42556,-81.99972,1650 Nixon Road,Augusta,Richmond,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10083/download,RP,small_red
10084,Southern Wood Piedmont - East Point,33.69000,-84.44472,1745 Connally Drive,East Point,Fulton,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10084/download,RP,small_red
10085,PPG Industries (former),32.46139,-83.76444,801 Valley Drive,Perry,Houston,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10085/download,RP,small_red
10089,Southern Bag Corp,30.83000,-83.29528,910 River Street,Valdosta,Lowndes,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10089/download,RP,small_red
10090,Bonnell Aluminum,33.38194,-84.81667,25 Bonnell Street,Newnan,Coweta,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10090/download,RP,small_red
10091,Travis Field/Savannah International Airport,32.11611,-81.19056,"Airport Commission, 400 Airway Avenue",Savannah,Chatham,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10091/download,RP,small_red
10092,Cedartown Municipal Landfill - Former NPL Site,34.01472,-85.28750,10th Street (1.8 miles west of Cedartown),Cedartown,Polk,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10092/download,L,small_green 
10093,"U.S. Naval Submarine Base, Kings Bay",30.81194,-81.57028,1063 USS Tennessee Avenue,Kings Bay,Camden,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10093/download,RP,small_red
10094,U.S. Marine Corps Logistics Base - NPL Site,31.54917,-84.05944,Fleming Road,Albany,Dougherty,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10094/download,RP,small_red
10095,Central of GA RR/Bernuth-Lembcke Site,32.09528,-81.10917,Off Kincey Road at GA Ports Authority Gate #2,Savannah,Chatham,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10095/download,RP,small_red
10096,M&J Solvents Company,33.79500,-84.43806,1577 Marietta Road NW,Atlanta,Fulton,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10096/download,RP,small_red
10097,Atlanta Gas Light Company - Waycross MGP Site,31.19889,-82.37389,903 Glenmore Avenue,Waycross,Ware,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10097/download,RP,small_red
10099,Alco Controls,31.86556,-82.59250,400 East First Street,Hazlehurst,Jeff Davis,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10099/download,RP,small_red
10106,Cedartown Battery Site,34.01472,-85.29889,Mountain Home Road and Prior Station Road,Cedartown,Polk,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10106/download,A,small_yellow
10111,Scripto Plant & Office Complex (Former),33.75833,-84.37306,423 John Wesley Dobbs St. & 430 Irwin Street,Atlanta,Fulton,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10111/download,A,small_yellow
10112,U.S. Army - Fort Benning (FBSB-86),32.36389,-84.97972,GA Hwy 1 & U.S. 27,Fort Benning,Muscogee,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10112/download,RP,small_red
10114,Union Camp Corp - Former Amoco Property,32.10222,-81.13306,West Lathrop Avenue,Savannah,Chatham,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10114/download,RP,small_red
10115,Phibro-Tech (fka C P Chemicals),33.85306,-84.65056,4080 Industry Road,Powder Springs,Cobb,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10115/download,RP,small_red
10116,Georgia Metals,33.85500,-84.65028,4000 Industry Road SW,Powder Springs,Cobb,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10116/download,A,small_yellow
10122,Amoco Fabrics & Fibers - Hazlehurst Mills,31.86444,-82.59111,4 Gill Street,Hazlehurst,Jeff Davis,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10122/download,RP,small_red
10123,Arivec Chemicals,33.76222,-84.73194,7962 Huey Road,Douglasville,Douglas,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10123/download,RP,small_red
10124,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),30.79750,-83.28083,1612 James P. Rodgers Circle,Valdosta,Lowndes,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10124/download,RP,small_red
10126,U.S. Army Corps of Engineers Airstrip (current),30.73222,-84.83222,Corps Airport Road,Bainbridge,Decatur,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10126/download,RP,small_red
10128,Atlanta Gas Light Company - Savannah MGP Site,32.07806,-81.08361,Area West & SW of E. Bay St. & Gen. McIntosh Blvd.,Savannah,Chatham,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10128/download,RP,small_red
10132,Atlanta Gas Light Company - Augusta MGP Site,33.46778,-81.96972,Walton Way & Eighth Street (807 8th Street),Augusta,Richmond,11/23/98,V,https://epd.georgia.gov/document/pdf/23-10132/download,RP,small_red
