Id,Label,date,lat,long,name,node_class,site_class
10095,Central of GA RR/Bernuth-Lembcke Site,6/29/94,32.09528,-81.10917,Central of GA RR/Bernuth-Lembcke Site,Site,RP
10096,M&J Solvents Company,6/29/94,33.795,-84.43806,M&J Solvents Company,Site,RP
10097,Atlanta Gas Light Company - Waycross MGP Site,6/29/94,31.19889,-82.37389,Atlanta Gas Light Company - Waycross MGP Site,Site,RP
10099,Alco Controls,6/29/94,31.86556,-82.5925,Alco Controls,Site,RP
10106,Cedartown Battery Site,6/29/94,34.01472,-85.29889,Cedartown Battery Site,Site,A
10111,Scripto Plant & Office Complex (Former),6/29/94,33.75833,-84.37306,Scripto Plant & Office Complex (Former),Site,A
10112,U.S. Army - Fort Benning (FBSB-86),6/29/94,32.36389,-84.97972,U.S. Army - Fort Benning (FBSB-86),Site,RP
10114,Union Camp Corp - Former Amoco Property,6/29/94,32.10222,-81.13306,Union Camp Corp - Former Amoco Property,Site,RP
10115,Phibro-Tech (fka C P Chemicals),6/29/94,33.85306,-84.65056,Phibro-Tech (fka C P Chemicals),Site,RP
10116,Georgia Metals,6/29/94,33.855,-84.65028,Georgia Metals,Site,A
10122,Amoco Fabrics & Fibers - Hazlehurst Mills,6/29/94,31.86444,-82.59111,Amoco Fabrics & Fibers - Hazlehurst Mills,Site,RP
10123,Arivec Chemicals,6/29/94,33.76222,-84.73194,Arivec Chemicals,Site,RP
10124,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),6/29/94,30.7975,-83.28083,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),Site,RP
10126,U.S. Army Corps of Engineers Airstrip (current),6/29/94,30.73222,-84.83222,U.S. Army Corps of Engineers Airstrip (current),Site,RP
10128,Atlanta Gas Light Company - Savannah MGP Site,6/29/94,32.07806,-81.08361,Atlanta Gas Light Company - Savannah MGP Site,Site,RP
10132,Atlanta Gas Light Company - Augusta MGP Site,11/23/98,33.46778,-81.96972,Atlanta Gas Light Company - Augusta MGP Site,Site,RP
10133,"Excalibur Realty (fka Chemical Specialties, Inc.)",6/29/94,30.80972,-83.2875,"Excalibur Realty (fka Chemical Specialties, Inc.)",Site,RP
10135,Monroe Auto Equipment Company (Tenneco),6/29/94,34.35389,-82.94306,Monroe Auto Equipment Company (Tenneco),Site,RP
10136,Monsanto Chemical Company - (former NPL Site),6/29/94,33.39083,-81.99056,Monsanto Chemical Company - (former NPL Site),Site,RP
10137,York Casket Hardware (fka Piedmont Metals),6/29/94,33.96472,-84.00028,York Casket Hardware (fka Piedmont Metals),Site,RP
10139,304 N Dudley Street Site,6/29/94,32.07472,-84.23833,304 N Dudley Street Site,Site,RP
10140,Union Timber,6/29/94,31.02972,-82.76639,Union Timber,Site,A
10141,Southern States,6/30/97,33.38583,-84.29,Southern States,Site,RP
10142,So Green Waste Pile,6/29/94,31.44222,-83.51056,So Green Waste Pile,Site,RP
10143,Parramore Fertilizer,6/29/94,31.44028,-83.5125,Parramore Fertilizer,Site,RP
10144,LCP Chemicals - NPL Site,6/29/94,31.18361,-81.51083,LCP Chemicals - NPL Site,Site,RP
10145,Olin Corporation,6/29/94,33.34472,-81.95,Olin Corporation,Site,RP
10146,Air Force Plant 6,6/29/94,33.90639,-84.51333,Air Force Plant 6,Site,RP
10147,Ashland Chemical Company,6/29/94,33.905,-84.24278,Ashland Chemical Company,Site,RP
10151,Signal Energy Holdings (Former Young Refining ),6/29/94,33.76306,-84.73111,Signal Energy Holdings (Former Young Refining ),Site,RP
10152,Peach Metal Industries,6/29/94,32.67444,-83.765,Peach Metal Industries,Site,A
10154,Douglas & Lomason Company,6/29/94,33.39167,-84.82278,Douglas & Lomason Company,Site,RP
10157,Manor Timber Company,6/29/94,31.07778,-82.63417,Manor Timber Company,Site,RP
10162,Ashland Chemical Company,6/29/94,32.08139,-81.13722,Ashland Chemical Company,Site,RP
10165,Conyers Battery Exchange,6/29/94,33.67361,-84.04611,Conyers Battery Exchange,Site,A
10167,Macon Naval Ordnance Landfill (Former) - NPL Site,6/29/94,32.76917,-83.64694,Macon Naval Ordnance Landfill (Former) - NPL Site,Site,RP
10170,A&D Barrel & Drum Company,6/29/94,33.77361,-84.40833,A&D Barrel & Drum Company,Site,A
10172,"A.I.D. Company, Div. of Roller Bearing Co. of America.",6/29/94,34.87722,-83.38667,"A.I.D. Company, Div. of Roller Bearing Co. of America.",Site,RP
10179,Deptford Tract Landfill,6/29/94,32.07167,-81.04056,Deptford Tract Landfill,Site,RP
