,UNEMPLOYMENT
,
,
"Barrow County, Georgia!!Estimate","1,908"
"Barrow County, Georgia!!Percent",3.20%
"Bartow County, Georgia!!Estimate","3,649"
"Bartow County, Georgia!!Percent",4.60%
"Bibb County, Georgia!!Estimate","3,761"
"Bibb County, Georgia!!Percent",3.10%
"Bulloch County, Georgia!!Estimate","4,115"
"Bulloch County, Georgia!!Percent",6.70%
"Carroll County, Georgia!!Estimate","3,571"
"Carroll County, Georgia!!Percent",3.90%
"Chatham County, Georgia!!Estimate","11,678"
"Chatham County, Georgia!!Percent",5.00%
"Cherokee County, Georgia!!Estimate","5,050"
"Cherokee County, Georgia!!Percent",2.70%
"Clarke County, Georgia!!Estimate","3,621"
"Clarke County, Georgia!!Percent",3.50%
"Clayton County, Georgia!!Estimate","10,582"
"Clayton County, Georgia!!Percent",5.10%
"Cobb County, Georgia!!Estimate","18,411"
"Cobb County, Georgia!!Percent",3.10%
"Columbia County, Georgia!!Estimate","2,834"
"Columbia County, Georgia!!Percent",2.50%
"Coweta County, Georgia!!Estimate","4,195"
"Coweta County, Georgia!!Percent",3.90%
"DeKalb County, Georgia!!Estimate","26,817"
"DeKalb County, Georgia!!Percent",4.60%
"Dougherty County, Georgia!!Estimate","5,620"
"Dougherty County, Georgia!!Percent",8.00%
"Douglas County, Georgia!!Estimate","5,747"
"Douglas County, Georgia!!Percent",5.20%
"Fayette County, Georgia!!Estimate","2,638"
"Fayette County, Georgia!!Percent",2.90%
"Floyd County, Georgia!!Estimate","2,876"
"Floyd County, Georgia!!Percent",3.80%
"Forsyth County, Georgia!!Estimate","2,683"
"Forsyth County, Georgia!!Percent",1.60%
"Fulton County, Georgia!!Estimate","34,359"
"Fulton County, Georgia!!Percent",4.20%
"Glynn County, Georgia!!Estimate","2,216"
"Glynn County, Georgia!!Percent",3.30%
"Gwinnett County, Georgia!!Estimate","16,675"
"Gwinnett County, Georgia!!Percent",2.40%
"Hall County, Georgia!!Estimate","2,556"
"Hall County, Georgia!!Percent",1.70%
"Henry County, Georgia!!Estimate","6,053"
"Henry County, Georgia!!Percent",3.50%
"Houston County, Georgia!!Estimate","4,211"
"Houston County, Georgia!!Percent",3.60%
"Lowndes County, Georgia!!Estimate","2,930"
"Lowndes County, Georgia!!Percent",3.30%
"Muscogee County, Georgia!!Estimate","6,735"
"Muscogee County, Georgia!!Percent",4.40%
"Newton County, Georgia!!Estimate","4,222"
"Newton County, Georgia!!Percent",5.10%
"Paulding County, Georgia!!Estimate","2,313"
"Paulding County, Georgia!!Percent",1.90%
"Richmond County, Georgia!!Estimate","9,364"
"Richmond County, Georgia!!Percent",5.90%
"Rockdale County, Georgia!!Estimate","3,025"
"Rockdale County, Georgia!!Percent",4.30%
"Troup County, Georgia!!Estimate","2,632"
"Troup County, Georgia!!Percent",4.90%
"Walker County, Georgia!!Estimate","1,943"
"Walker County, Georgia!!Percent",3.60%
"Walton County, Georgia!!Estimate","3,059"
"Walton County, Georgia!!Percent",4.30%
"Whitfield County, Georgia!!Estimate","3,629"
"Whitfield County, Georgia!!Percent",4.50%
